file,smell,class_name,method,start_line,alone,in_project,new_in_project
apache__activemq-artemis__5bd5c610195d/artemis-server/src/main/java/org/apache/activemq/artemis/core/messagecounter/MessageCounter.java,LongMethod,MessageCounter,updateHistory(long),350,no_new_errors,no_new_errors,
apache__ambari__2bc4779a1e6a/ambari-server/src/main/java/org/apache/ambari/server/api/services/stackadvisor/commands/StackAdvisorCommand.java,BrainMethod,StackAdvisorCommand,getHostsInformation(StackAdvisorRequest),391,no_new_errors,no_new_errors,
apache__ambari__2bc4779a1e6a/ambari-server/src/main/java/org/apache/ambari/server/api/services/stackadvisor/commands/StackAdvisorCommand.java,LongMethod,StackAdvisorCommand,getHostsInformation(StackAdvisorRequest),391,no_new_errors,no_new_errors,
apache__cloudstack__8d3feb100aab/server/src/main/java/org/apache/cloudstack/ha/HAManagerImpl.java,LongMethod,HAManagerBgPollTask,runInContext(),640,no_new_errors,no_new_errors,
apache__commons-jcs__ad897014842f/src/experimental/org/apache/commons/jcs/auxiliary/lateral/http/server/AbstractDeleteCacheServlet.java,BrainMethod,AbstractDeleteCacheServlet,"service(HttpServletRequest, HttpServletResponse)",63,no_new_errors,no_new_errors,
apache__commons-jcs__ad897014842f/src/experimental/org/apache/commons/jcs/auxiliary/lateral/http/server/AbstractDeleteCacheServlet.java,LongMethod,AbstractDeleteCacheServlet,"service(HttpServletRequest, HttpServletResponse)",63,no_new_errors,no_new_errors,
apache__commons-net__fb7aae4c64f7/src/main/java/org/apache/commons/net/ftp/parser/VMSVersioningFTPEntryParser.java,LongMethod,VMSVersioningFTPEntryParser,preParse(List),104,no_new_errors,compiles,
apache__derby__bd246fc89d4f/java/org.apache.derby.tests/org/apache/derbyTesting/system/nstest/tester/TesterObject.java,LongMethod,TesterObject,doIUDOperation(),154,no_new_errors,no_new_errors,
apache__derby__bd246fc89d4f/java/org.apache.derby.tests/org/apache/derbyTesting/system/nstest/tester/TesterObject.java,BrainMethod,TesterObject,doSelectOperation(int),220,no_new_errors,no_new_errors,
apache__derby__bd246fc89d4f/java/org.apache.derby.tests/org/apache/derbyTesting/system/nstest/tester/TesterObject.java,LongMethod,TesterObject,doSelectOperation(int),220,no_new_errors,no_new_errors,
apache__directory-fortress-core__180e1f017d90/src/main/java/org/apache/directory/fortress/core/ldap/LdapConnectionProvider.java,LongMethod,LdapConnectionProvider,init(),115,no_new_errors,no_new_errors,
apache__directory-studio__e8f15ea553a3/plugins/ldapbrowser.common/src/main/java/org/apache/directory/studio/ldapbrowser/common/actions/CopyAction.java,BrainMethod,CopyAction,run(),142,no_new_errors,no_new_errors,
apache__directory-studio__e8f15ea553a3/plugins/ldapbrowser.common/src/main/java/org/apache/directory/studio/ldapbrowser/common/actions/CopyAction.java,LongMethod,CopyAction,run(),142,no_new_errors,no_new_errors,
apache__felix__a132994b2507/mosgi/jmx.agent/src/main/java/org/apache/felix/mosgi/jmx/agent/mx4j/util/Base64Codec.java,LongMethod,Base64Codec,decodeBase64(byte),124,compiles,compiles,
apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,BrainMethod,BorderPainter,"drawRectangularBorders(Rectangle, BorderProps, BorderProps, BorderProps, BorderProps)",104,no_new_errors,no_new_errors,
apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,LongMethod,BorderPainter,"drawRectangularBorders(Rectangle, BorderProps, BorderProps, BorderProps, BorderProps)",104,no_new_errors,no_new_errors,
apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,BrainMethod,BorderPainter,"drawBorderSegment(BorderSegment, BorderSegment, BorderSegment, int, int, int, int, double)",327,no_new_errors,no_new_errors,
apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,LongMethod,BorderPainter,"drawBorderSegment(BorderSegment, BorderSegment, BorderSegment, int, int, int, int, double)",327,no_new_errors,no_new_errors,
apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,LongParameterList,BorderPainter,"drawBorderSegment(BorderSegment, BorderSegment, BorderSegment, int, int, int, int, double)",327,no_new_errors,no_new_errors,
apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,DeepNesting,BorderPainter,"drawBorderSegment(BorderSegment, BorderSegment, BorderSegment, int, int, int, int, double)",327,no_new_errors,no_new_errors,
apache__hadoop__128dd91e1008/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/common/volume/HddsVolumeChecker.java,LongMethod,HddsVolumeChecker,checkAllVolumes(Collection),180,no_new_errors,no_new_errors,
apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierUtil.java,LongMethod,PlanModifierUtil,"fixTopOBSchema(RelNode, Pair, List, boolean)",49,no_new_errors,new_errors,package ImmutableMap does not exist
apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/optimizer/spark/SparkSkewJoinProcFactory.java,BrainMethod,SparkSkewJoinProcFactory,"splitTask(SparkTask, ReduceWork, ParseContext)",104,no_new_errors,no_new_errors,
apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/optimizer/spark/SparkSkewJoinProcFactory.java,LongMethod,SparkSkewJoinProcFactory,"splitTask(SparkTask, ReduceWork, ParseContext)",104,no_new_errors,no_new_errors,
apache__hive__2fa22bf36089/serde/src/java/org/apache/hadoop/hive/serde2/lazybinary/LazyBinaryMap.java,LongMethod,LazyBinaryMap,parse(),138,no_new_errors,no_new_errors,
apache__incubator-heron__17f1b06fffed/heron/metricsmgr/src/java/org/apache/heron/metricsmgr/MetricsManager.java,LongMethod,MetricsManager,main(String),331,no_new_errors,no_new_errors,
apache__incubator-heron__17f1b06fffed/heron/metricsmgr/src/java/org/apache/heron/metricsmgr/MetricsManager.java,LongMethod,DefaultExceptionHandler,"handleException(Thread, Throwable)",509,no_new_errors,no_new_errors,
apache__incubator-shardingsphere__c5cf1d15b02f/sharding-core/sharding-core-common/src/main/java/org/apache/shardingsphere/core/util/InlineExpressionParser.java,LongMethod,InlineExpressionParser,split(),112,no_new_errors,no_new_errors,
apache__james-project__fa24a096a585/mpt/core/src/main/java/org/apache/james/mpt/helper/ScriptBuilder.java,LongMethod,Search,"date(int, int, int)",677,no_new_errors,no_new_errors,
apache__james-project__fa24a096a585/mpt/core/src/main/java/org/apache/james/mpt/helper/ScriptBuilder.java,LongMethod,Client,continuation(),1266,no_new_errors,no_new_errors,
apache__james-project__fa24a096a585/mpt/core/src/main/java/org/apache/james/mpt/helper/ScriptBuilder.java,BrainMethod,Out,lineEnd(),1390,no_new_errors,no_new_errors,
apache__james-project__fa24a096a585/mpt/core/src/main/java/org/apache/james/mpt/helper/ScriptBuilder.java,LongMethod,Out,lineEnd(),1390,no_new_errors,no_new_errors,
apache__lucene-solr__bca22d58e2d1/lucene/core/src/java/org/apache/lucene/codecs/DocValuesConsumer.java,BrainMethod,DocValuesConsumer,"mergeSortedField(FieldInfo, MergeState)",478,no_new_errors,compiles,
apache__lucene-solr__bca22d58e2d1/lucene/core/src/java/org/apache/lucene/codecs/DocValuesConsumer.java,LongMethod,DocValuesConsumer,"mergeSortedField(FieldInfo, MergeState)",478,no_new_errors,compiles,
apache__lucene-solr__bca22d58e2d1/lucene/core/src/java/org/apache/lucene/codecs/DocValuesConsumer.java,BrainMethod,DocValuesConsumer,"mergeSortedSetField(FieldInfo, MergeState)",648,no_new_errors,compiles,
apache__lucene-solr__bca22d58e2d1/lucene/core/src/java/org/apache/lucene/codecs/DocValuesConsumer.java,LongMethod,DocValuesConsumer,"mergeSortedSetField(FieldInfo, MergeState)",648,no_new_errors,compiles,
apache__lucene-solr__bca22d58e2d1/lucene/core/src/java/org/apache/lucene/codecs/blocktree/SegmentTermsEnum.java,BrainMethod,SegmentTermsEnum,printSeekState(PrintStream),828,no_new_errors,compiles,
apache__lucene-solr__bca22d58e2d1/lucene/core/src/java/org/apache/lucene/codecs/blocktree/SegmentTermsEnum.java,LongMethod,SegmentTermsEnum,printSeekState(PrintStream),828,no_new_errors,compiles,
apache__lucene-solr__bca22d58e2d1/solr/core/src/java/org/apache/solr/metrics/SolrMetricManager.java,LongMethod,SolrMetricManager,"loadReporters(PluginInfo, SolrResourceLoader, CoreContainer, SolrCore, String, Group, String)",803,no_new_errors,no_new_errors,
apache__nifi__c8eff590efa3/nifi-commons/nifi-site-to-site-client/src/main/java/org/apache/nifi/remote/protocol/http/HttpClientTransaction.java,LongMethod,HttpClientTransaction,readTransactionResponse(),56,no_new_errors,no_new_errors,
apache__nifi__c8eff590efa3/nifi-commons/nifi-site-to-site-client/src/main/java/org/apache/nifi/remote/protocol/http/HttpClientTransaction.java,LongMethod,HttpClientTransaction,"writeTransactionResponse(ResponseCode, String)",110,no_new_errors,no_new_errors,
apache__ofbiz__7ba7f3c2e16d/framework/widget/src/main/java/org/apache/ofbiz/widget/model/ModelFormField.java,LongMethod,DisplayEntityField,getDescription(Map),1304,no_new_errors,no_new_errors,
apache__ofbiz__7ba7f3c2e16d/framework/widget/src/main/java/org/apache/ofbiz/widget/model/ModelFormField.java,LongMethod,DisplayField,getDescription(Map),1489,no_new_errors,no_new_errors,
apache__ofbiz__7ba7f3c2e16d/framework/widget/src/main/java/org/apache/ofbiz/widget/model/ModelFormField.java,BrainMethod,EntityOptions,"addOptionValues(List, Map, Delegator)",1881,no_new_errors,no_new_errors,
apache__ofbiz__7ba7f3c2e16d/framework/widget/src/main/java/org/apache/ofbiz/widget/model/ModelFormField.java,LongMethod,EntityOptions,"addOptionValues(List, Map, Delegator)",1881,no_new_errors,no_new_errors,
apache__oodt__9f2a500b9d06/resource/src/main/java/org/apache/oodt/cas/resource/tools/RunDirJobSubmitter.java,LongMethod,RunDirJobSubmitter,"submitRunDirJobFile(String, String)",63,no_new_errors,no_new_errors,
apache__poi__351623a86924/src/java/org/apache/poi/hssf/record/SupBookRecord.java,LongMethod,SupBookRecord,decodeFileName(String),208,no_new_errors,no_new_errors,
apache__qpid-broker-j__4c4400b98a5a/broker-core/src/main/java/org/apache/qpid/server/queue/QueueEntryImpl.java,LongMethod,QueueEntryImpl,"routeToAlternate(Action, ServerTransaction, Predicate)",577,no_new_errors,no_new_errors,
apache__qpid-broker-j__4c4400b98a5a/tools/src/main/java/org/apache/qpid/tools/MemoryConsumptionTestClient.java,LongParameterList,MemoryConsumptionTestClient,"generateCSV(MemoryStatistic, int, int, boolean, int, int, int, int, String)",190,no_new_errors,no_new_errors,
apache__qpid-broker-j__4c4400b98a5a/tools/src/main/java/org/apache/qpid/tools/MemoryConsumptionTestClient.java,LongParameterList,MemoryConsumptionTestClient,"publish(int, int, int, int, Destination, Map)",227,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/compiler-jx/src/main/java/org/apache/royale/compiler/internal/codegen/js/jx/SwitchEmitter.java,LongMethod,SwitchEmitter,emit(ISwitchNode),43,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,BrainMethod,PlayerSession,terminate(),539,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,LongMethod,PlayerSession,terminate(),539,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,BrainMethod,PlayerSession,"pullUpActivationObjectVariables(int, int)",1114,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,LongMethod,PlayerSession,"pullUpActivationObjectVariables(int, int)",1114,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,LongMethod,PlayerSession,"buildCallFunctionMessage(boolean, Value, String, Value)",1481,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,LongMethod,PlayerSession,"postMessageArrived(DMessage, DProtocol)",2285,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,BrainMethod,PlayerSession,run(),2383,no_new_errors,no_new_errors,
apache__royale-compiler__fbd9bc3b9e48/debugger/src/main/java/flash/tools/debugger/concrete/PlayerSession.java,LongMethod,PlayerSession,run(),2383,no_new_errors,no_new_errors,
apache__sentry__f859446b65bb/sentry-binding/sentry-binding-hive/src/main/java/org/apache/sentry/binding/hive/authz/SentryConfigTool.java,BrainMethod,SentryConfigTool,parseArgs(String),468,no_new_errors,no_new_errors,
apache__sentry__f859446b65bb/sentry-binding/sentry-binding-hive/src/main/java/org/apache/sentry/binding/hive/authz/SentryConfigTool.java,LongMethod,SentryConfigTool,parseArgs(String),468,no_new_errors,no_new_errors,
apache__struts__e82c5a207f62/plugins/embeddedjsp/src/main/java/org/apache/struts2/el/parser/AstFunction.java,LongMethod,AstFunction,getValue(EvaluationContext),78,no_new_errors,no_new_errors,
apache__tomee__d21933b313af/itests/failover/src/main/java/org/apache/openejb/server/control/StandaloneServer.java,LongMethod,StandaloneServer,"start(int, TimeUnit)",262,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,createInterpreter_args,"setFieldValue(_Fields, Object)",3312,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,createInterpreter_args,toString(),3565,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,interpret_args,toString(),5986,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,completion_args,"setFieldValue(_Fields, Object)",9444,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,completion_args,toString(),9697,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,resourceInvokeMethod_args,toString(),14675,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,angularObjectUpdate_args,toString(),15722,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,angularObjectAdd_args,toString(),16646,no_new_errors,no_new_errors,
apache__zeppelin__4219d552349f/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,LongMethod,loadApplication_args,toString(),18998,no_new_errors,no_new_errors,
eclipse__birt__f89264810347/UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/OutputColumnsPage.java,DeepNesting,OutputColumnsPage,setAnalysisTypeForColumn(),598,no_new_errors,compiles,
eclipse__birt__f89264810347/UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/OutputColumnsPage.java,BrainMethod,OutputColumnsPage,saveOutputColumns(),638,no_new_errors,compiles,
eclipse__birt__f89264810347/UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/OutputColumnsPage.java,LongMethod,OutputColumnsPage,saveOutputColumns(),638,no_new_errors,compiles,
eclipse__birt__f89264810347/UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/OutputColumnsPage.java,LongMethod,OutputColumnsPage,getCompatibleDataTypes(String),976,no_new_errors,compiles,
eclipse__birt__f89264810347/UI/org.eclipse.birt.report.designer.ui.data/src/org/eclipse/birt/report/designer/data/ui/dataset/OutputColumnsPage.java,LongMethod,OutputColumnInputDialog,createDataTypeCombo(Composite),1151,no_new_errors,compiles,
eclipse__birt__f89264810347/engine/org.eclipse.birt.report.engine.emitter.postscript/src/org/eclipse/birt/report/engine/emitter/postscript/PostscriptWriter.java,LongParameterList,PostscriptWriter,"outputCachedImage(String, Image, float, float, float, float)",296,no_new_errors,compiles,
eclipse__birt__f89264810347/engine/org.eclipse.birt.report.engine.emitter.postscript/src/org/eclipse/birt/report/engine/emitter/postscript/PostscriptWriter.java,LongMethod,PostscriptWriter,"drawBackgroundImage(String, byte, float, float, float, float, float, float, float, float, int)",469,no_new_errors,compiles,
eclipse__cft__36e7a593b3a7/org.eclipse.cft.server.ui/src/org/eclipse/cft/server/ui/internal/wizards/ConnectSsoServerDialog.java,LongMethod,ConnectSsoServerDialog,buttonPressed(int),93,no_new_errors,no_new_errors,
eclipse__dawnsci__1131d5c65e9e/org.eclipse.dawnsci.analysis.dataset/src/org/eclipse/dawnsci/analysis/dataset/roi/fitting/EllipseFitter.java,LongMethod,EllipseCoordinatesFunction,calcAllInitValues(double),117,no_new_errors,no_new_errors,
eclipse__dawnsci__1131d5c65e9e/org.eclipse.dawnsci.analysis.dataset/src/org/eclipse/dawnsci/analysis/dataset/roi/fitting/EllipseFitter.java,LongMethod,EllipseFitter,"quickfit(IDataset, IDataset)",357,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBinaryTypeHiddenByOtherJar(),512,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBinaryTypeInDotClassJar(),568,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testPotentialSubtypeInDependentProject(),1765,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,_testRegion4(),1905,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testRegion5(),1957,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testResilienceToMissingBinaries(),2004,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testRootOrder(),2076,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testSupertypeHierarchyOnWorkingCopy(),2222,no_new_errors,new_errors,package org.eclipse.jface.text does not exist | package org.eclipse.text.edits does not exist
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug254738(),2378,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,_testBug329663(),2451,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,_testBug329663a(),2498,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug300576(),2542,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug300576b(),2582,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug393192(),2625,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug436155(),2712,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug436139(),2755,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,BrainMethod,TypeHierarchyTests,testBug469668(),2815,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug469668(),2815,no_new_errors,no_new_errors,
eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/TypeHierarchyTests.java,LongMethod,TypeHierarchyTests,testBug462158(),2864,no_new_errors,no_new_errors,
