sample_id,outcome,smell,entity_type,repository,path,start_line,end_line,code_name,detail
8796174,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,80311,81098,org.apache.airavata.api.Airavata.createExperiment_result,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8728601,no_file,feature envy,function,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,20364,20366,org.apache.airavata.registry.api.RegistryService.AsyncProcessor.updateUnicoreJobSubmissionDetails#getEmptyArgsInstance,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8768716,no_file,feature envy,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,19064,19066,org.apache.airavata.api.Airavata.Processor.addSSHJobSubmissionDetails#getEmptyArgsInstance,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8845555,no_file,data class,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,251296,251300,org.apache.airavata.api.Airavata.registerDataProduct_result.registerDataProduct_resultStandardSchemeFactory,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8845696,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,119697,119701,org.apache.airavata.api.Airavata.registerApplicationInterface_result.registerApplicationInterface_resultTupleSchemeFactory,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8790597,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,138297,138356,org.apache.airavata.api.Airavata.registerStorageResource_args.registerStorageResource_argsStandardScheme,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8811340,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,215954,216513,org.apache.airavata.api.Airavata.isSSHSetupCompleteForUserComputeResourcePreference_args,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8811171,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,252554,252655,org.apache.airavata.api.Airavata.getDataProduct_result.getDataProduct_resultStandardScheme,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8728960,no_file,blob,class,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,15182,15204,org.apache.airavata.registry.api.RegistryService.Processor.getAllUserResourceProfiles,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8819009,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,81728,81732,org.apache.airavata.api.Airavata.deleteExperiment_result#setSuccess boolean,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8845205,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,40914,40918,org.apache.airavata.api.Airavata.getGateway_args.findByThriftIdOrThrow int,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8833156,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,250896,250900,org.apache.airavata.api.Airavata.registerDataProduct_result#setIreIsSet boolean,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8791150,no_file,blob,class,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,139622,139692,org.apache.airavata.registry.api.RegistryService.getUserComputeResourcePreference_args.getUserComputeResourcePreference_argsStandardScheme,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8850427,no_file,data class,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,26353,26423,org.apache.airavata.api.Airavata.AsyncProcessor.getAppModuleDeployedResources,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8728404,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,125848,125852,org.apache.airavata.api.Airavata.getAllApplicationInterfaceNames_result#setAeIsSet boolean,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8829081,no_file,data class,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,154355,154373,org.apache.airavata.api.Airavata.getUnicoreJobSubmission_args.getUnicoreJobSubmission_argsTupleScheme,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8845236,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,41204,41216,org.apache.airavata.api.Airavata.getGateway_args#validate,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8822271,no_file,blob,class,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,72161,72513,org.apache.airavata.registry.api.RegistryService.getAllApplicationInterfaceNames_args,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8855150,no_file,blob,class,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,20095,20123,org.apache.airavata.api.Airavata.Processor.getGatewayResourceProfile,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8857529,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,104632,104638,org.apache.airavata.api.Airavata.registerApplicationModule_args.registerApplicationModule_argsTupleScheme#write org.apache.thrift.protocol.TProtocol|registerApplicationModule_args,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8731323,no_file,data class,class,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,153936,153961,org.apache.airavata.registry.api.RegistryService.updateWorkflow_result.updateWorkflow_resultTupleScheme,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8856936,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,123344,123387,org.apache.airavata.api.Airavata.updateApplicationInterface_result#setFieldValue _Fields|Object,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8793481,no_file,data class,class,git@github.com:apache/airavata.git,/modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java,51519,51566,org.apache.airavata.registry.api.RegistryService.getDetailedExperimentTree_result.getDetailedExperimentTree_resultTupleScheme,modules/registry/registry-server/registry-api-stubs/src/main/java/org/apache/airavata/registry/api/RegistryService.java
8813925,no_file,long method,function,git@github.com:apache/airavata.git,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,6091,6111,org.apache.airavata.api.Airavata.Client#recv_registerComputeResource,airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java
8155972,no_file,long method,function,git@github.com:apache/axis1-java.git,/axis-rt-core/src/main/java/org/apache/axis/message/MessageElement.java,962,968,org.apache.axis.message.MessageElement#addAttribute String|String|String,axis-rt-core/src/main/java/org/apache/axis/message/MessageElement.java
8155488,no_file,data class,class,git@github.com:apache/axis1-java.git,/samples/transport-sample/src/main/java/samples/transport/tcp/TCPSender.java,36,105,samples.transport.tcp.TCPSender,samples/transport-sample/src/main/java/samples/transport/tcp/TCPSender.java
8158565,no_file,feature envy,function,git@github.com:apache/axis1-java.git,/axis-rt-core/src/main/java/org/apache/axis/client/Call.java,2980,2983,org.apache.axis.client.Call#getOperation,axis-rt-core/src/main/java/org/apache/axis/client/Call.java
8152732,no_file,blob,class,git@github.com:apache/axis1-java.git,/samples/transport-sample/src/main/java/samples/transport/FileTransport.java,28,34,samples.transport.FileTransport,samples/transport-sample/src/main/java/samples/transport/FileTransport.java
8154696,no_file,feature envy,function,git@github.com:apache/axis1-java.git,/axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/SimpleJMSListener.java,142,151,org.apache.axis.transport.jms.SimpleJMSListener.createConnectorMap Options,axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/SimpleJMSListener.java
8154467,no_file,blob,class,git@github.com:apache/axis1-java.git,/samples/integrationguide-sample/src/main/java/samples/integrationGuide/example2/MyEmitter.java,20,41,samples.integrationGuide.example2.MyEmitter,samples/integrationguide-sample/src/main/java/samples/integrationGuide/example2/MyEmitter.java
8158039,no_file,long method,function,git@github.com:apache/axis1-java.git,/samples/integrationguide-sample/src/main/java/samples/integrationGuide/example2/WSDL2Useless.java,42,55,samples.integrationGuide.example2.WSDL2Useless#parseOption CLOption,samples/integrationguide-sample/src/main/java/samples/integrationGuide/example2/WSDL2Useless.java
8151887,no_file,data class,class,git@github.com:apache/axis1-java.git,/axis-rt-core/src/main/java/org/apache/axis/wsdl/SkeletonImpl.java,25,225,org.apache.axis.wsdl.SkeletonImpl,axis-rt-core/src/main/java/org/apache/axis/wsdl/SkeletonImpl.java
8152579,no_file,long method,function,git@github.com:apache/axis1-java.git,/axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/JMSEndpoint.java,106,110,org.apache.axis.transport.jms.JMSEndpoint#registerListener MessageListener,axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/JMSEndpoint.java
8156464,no_file,blob,class,git@github.com:apache/axis1-java.git,/axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/TopicConnector.java,46,428,org.apache.axis.transport.jms.TopicConnector,axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/TopicConnector.java
3999557,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/kernel/src/org/apache/axis2/builder/unknowncontent/InputStreamDataSource.java,28,61,org.apache.axis2.builder.unknowncontent.InputStreamDataSource,modules/kernel/src/org/apache/axis2/builder/unknowncontent/InputStreamDataSource.java
4003132,no_file,feature envy,function,git@github.com:apache/axis2-java.git,/modules/kernel/src/org/apache/axis2/receivers/AbstractMessageReceiver.java,60,62,org.apache.axis2.receivers.AbstractMessageReceiver#replicateState MessageContext,modules/kernel/src/org/apache/axis2/receivers/AbstractMessageReceiver.java
4002865,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/samples/userguide/src/userguide/clients/EchoNonBlockingClient.java,34,99,userguide.clients.EchoNonBlockingClient,modules/samples/userguide/src/userguide/clients/EchoNonBlockingClient.java
4002578,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/kernel/src/org/apache/axis2/description/ModuleConfiguration.java,58,64,org.apache.axis2.description.ModuleConfiguration#removeParameter Parameter,modules/kernel/src/org/apache/axis2/description/ModuleConfiguration.java
4002584,no_file,data class,class,git@github.com:apache/axis2-java.git,/modules/kernel/src/org/apache/axis2/util/CommandLineOption.java,24,96,org.apache.axis2.util.CommandLineOption,modules/kernel/src/org/apache/axis2/util/CommandLineOption.java
4016005,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/transport/testkit/src/main/java/org/apache/axis2/transport/testkit/endpoint/AsyncEndpoint.java,54,62,org.apache.axis2.transport.testkit.endpoint.AsyncEndpoint,modules/transport/testkit/src/main/java/org/apache/axis2/transport/testkit/endpoint/AsyncEndpoint.java
4009754,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/corba/src/org/apache/axis2/corba/deployer/SchemaGenerator.java,791,796,org.apache.axis2.corba.deployer.SchemaGenerator#getExtraClasses,modules/corba/src/org/apache/axis2/corba/deployer/SchemaGenerator.java
4003482,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/metadata/src/org/apache/axis2/jaxws/description/DescriptionKey.java,123,132,org.apache.axis2.jaxws.description.DescriptionKey#printKey,modules/metadata/src/org/apache/axis2/jaxws/description/DescriptionKey.java
4002575,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/kernel/src/org/apache/axis2/description/ModuleConfiguration.java,37,99,org.apache.axis2.description.ModuleConfiguration,modules/kernel/src/org/apache/axis2/description/ModuleConfiguration.java
3996032,no_file,data class,class,git@github.com:apache/axis2-java.git,/modules/transport/testkit/src/main/java/org/apache/axis2/transport/testkit/http/JettyEchoEndpoint.java,36,59,org.apache.axis2.transport.testkit.http.JettyEchoEndpoint,modules/transport/testkit/src/main/java/org/apache/axis2/transport/testkit/http/JettyEchoEndpoint.java
4006002,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/jaxws/src/org/apache/axis2/jaxws/binding/BindingUtils.java,92,97,org.apache.axis2.jaxws.binding.BindingUtils.isHTTPBinding String,modules/jaxws/src/org/apache/axis2/jaxws/binding/BindingUtils.java
4003492,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/transport/testkit/src/main/java/org/apache/axis2/transport/testkit/ManagedTestSuite.java,40,131,org.apache.axis2.transport.testkit.ManagedTestSuite,modules/transport/testkit/src/main/java/org/apache/axis2/transport/testkit/ManagedTestSuite.java
4022541,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/metadata/src/org/apache/axis2/jaxws/description/impl/DescriptionFactoryImpl.java,413,445,org.apache.axis2.jaxws.description.impl.DescriptionFactoryImpl.updateEndpoint ServiceDescription|Class|EndpointReference|String|DescriptionFactory.UpdateType|DescriptionBuilderComposite|Object|String|String,modules/metadata/src/org/apache/axis2/jaxws/description/impl/DescriptionFactoryImpl.java
4012308,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/transport/udp/src/main/java/org/apache/axis2/transport/udp/UDPOutTransportInfo.java,31,62,org.apache.axis2.transport.udp.UDPOutTransportInfo,modules/transport/udp/src/main/java/org/apache/axis2/transport/udp/UDPOutTransportInfo.java
4023846,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/soapmonitor/servlet/src/main/java/org/apache/axis2/soapmonitor/applet/SOAPMonitorApplet.java,398,429,org.apache.axis2.soapmonitor.applet.SOAPMonitorApplet.SOAPMonitorPage#stop,modules/soapmonitor/servlet/src/main/java/org/apache/axis2/soapmonitor/applet/SOAPMonitorApplet.java
4023677,no_file,long method,function,git@github.com:apache/axis2-java.git,/modules/transport/http/src/org/apache/axis2/transport/http/AxisServlet.java,668,687,org.apache.axis2.transport.http.AxisServlet#preprocessRequest HttpServletRequest,modules/transport/http/src/org/apache/axis2/transport/http/AxisServlet.java
4000540,no_file,blob,class,git@github.com:apache/axis2-java.git,/modules/kernel/src/org/apache/axis2/deployment/resolver/AARFileBasedURIResolver.java,39,113,org.apache.axis2.deployment.resolver.AARFileBasedURIResolver,modules/kernel/src/org/apache/axis2/deployment/resolver/AARFileBasedURIResolver.java
4472450,no_file,data class,class,git@github.com:apache/ctakes.git,/ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/metric/LinMetric.java,32,82,org.apache.ctakes.ytex.kernel.metric.LinMetric,ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/metric/LinMetric.java
4490338,no_file,feature envy,function,git@github.com:apache/ctakes.git,/ctakes-coreference/src/main/java/org/apache/ctakes/coreference/ae/features/cluster/MentionClusterStringFeaturesExtractor.java,35,105,org.apache.ctakes.coreference.ae.features.cluster.MentionClusterStringFeaturesExtractor#extract JCas|CollectionTextRelation|IdentifiedAnnotation,ctakes-coreference/src/main/java/org/apache/ctakes/coreference/ae/features/cluster/MentionClusterStringFeaturesExtractor.java
4491391,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactRow.java,121,138,org.apache.ctakes.core.cc.jdbc.i2b2.ObservationFactRow#initializeDocument JCas,ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactRow.java
4494161,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-core/src/main/java/org/apache/ctakes/core/cc/html/JsWriter.java,46,73,org.apache.ctakes.core.cc.html.JsWriter.getSwapInfoScript,ctakes-core/src/main/java/org/apache/ctakes/core/cc/html/JsWriter.java
4473015,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-assertion-zoner/src/main/java/org/mitre/medfacts/uima/RunZoner.java,51,69,org.mitre.medfacts.uima.RunZoner.main String,ctakes-assertion-zoner/src/main/java/org/mitre/medfacts/uima/RunZoner.java
4475154,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-coreference/src/main/java/org/apache/ctakes/coreference/util/AttributeCalculator.java,63,70,org.apache.ctakes.coreference.util.AttributeCalculator.isPronoun Markable,ctakes-coreference/src/main/java/org/apache/ctakes/coreference/util/AttributeCalculator.java
4472442,no_file,data class,class,git@github.com:apache/ctakes.git,/ctakes-core/src/main/java/org/apache/ctakes/core/util/FSUtil.java,40,143,org.apache.ctakes.core.util.FSUtil,ctakes-core/src/main/java/org/apache/ctakes/core/util/FSUtil.java
4480837,no_file,blob,class,git@github.com:apache/ctakes.git,/ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/data/GoldEventPrinterWithLabels.java,55,209,org.apache.ctakes.temporal.nn.data.GoldEventPrinterWithLabels,ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/data/GoldEventPrinterWithLabels.java
4486552,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/filter/MetaDataPostLookupFilterImpl.java,64,76,org.apache.ctakes.dictionary.lookup.filter.MetaDataPostLookupFilterImpl#getMetaDataValue MetaDataHit,ctakes-dictionary-lookup/src/main/java/org/apache/ctakes/dictionary/lookup/filter/MetaDataPostLookupFilterImpl.java
4473448,no_file,blob,class,git@github.com:apache/ctakes.git,/ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/eval/EvaluationOfNeuralJointRelations.java,496,538,org.apache.ctakes.temporal.nn.eval.EvaluationOfNeuralJointRelations.RemoveNonUMLSEvents,ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/eval/EvaluationOfNeuralJointRelations.java
4491039,no_file,blob,class,git@github.com:apache/ctakes.git,/ctakes-relation-extractor/src/main/java/org/apache/ctakes/relationextractor/ae/baselines/Baseline2EntityMentionPairRelationExtractorAnnotator.java,41,130,org.apache.ctakes.relationextractor.ae.baselines.Baseline2EntityMentionPairRelationExtractorAnnotator,ctakes-relation-extractor/src/main/java/org/apache/ctakes/relationextractor/ae/baselines/Baseline2EntityMentionPairRelationExtractorAnnotator.java
4474548,no_file,feature envy,function,git@github.com:apache/ctakes.git,/ctakes-core/src/main/java/org/apache/ctakes/core/pipeline/GenerateSentenceBIODescriptors.java,17,24,org.apache.ctakes.core.pipeline.GenerateSentenceBIODescriptors.main String[],ctakes-core/src/main/java/org/apache/ctakes/core/pipeline/GenerateSentenceBIODescriptors.java
4493181,no_file,blob,class,git@github.com:apache/ctakes.git,/ctakes-temporal/src/main/java/org/apache/ctakes/temporal/eval/NeuralEventTimeRelationsEvaluation.java,905,969,org.apache.ctakes.temporal.eval.NeuralEventTimeRelationsEvaluation.CountCloseRelation,ctakes-temporal/src/main/java/org/apache/ctakes/temporal/eval/NeuralEventTimeRelationsEvaluation.java
4488901,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-core/src/main/java/org/apache/ctakes/core/cleartk/SumContext.java,44,73,org.apache.ctakes.core.cleartk.SumContext#extract JCas|Annotation|Bounds|Class<SEARCH_T>|FeatureExtractor1<SEARCH_T>,ctakes-core/src/main/java/org/apache/ctakes/core/cleartk/SumContext.java
4487855,no_file,blob,class,git@github.com:apache/ctakes.git,/ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/data/GoldEventPrinterWithLabels.java,57,70,org.apache.ctakes.temporal.nn.data.GoldEventPrinterWithLabels.Options,ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/data/GoldEventPrinterWithLabels.java
4479629,no_file,blob,class,git@github.com:apache/ctakes.git,/ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/model/FeatureRank.java,48,60,org.apache.ctakes.ytex.kernel.model.FeatureRank.FeatureRankAsc,ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/model/FeatureRank.java
4473720,no_file,long method,function,git@github.com:apache/ctakes.git,/ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/SparseDataExporterImpl.java,275,287,"org.apache.ctakes.ytex.kernel.SparseDataExporterImpl#prepare String|String|Map<String, Object>",ctakes-ytex/src/main/java/org/apache/ctakes/ytex/kernel/SparseDataExporterImpl.java
4493485,no_file,feature envy,function,git@github.com:apache/ctakes.git,/ctakes-temporal/src/main/java/org/apache/ctakes/temporal/eval/EvaluationOfEventProperties.java,330,339,org.apache.ctakes.temporal.eval.EvaluationOfEventProperties.getPropertyGetter String,ctakes-temporal/src/main/java/org/apache/ctakes/temporal/eval/EvaluationOfEventProperties.java
