sample_id,smell,entity_type,repository,path,start_line,code_name,reviews,severity_mean,unanimous,fired_strategy,fired_with_size
6632662,long method,function,git@github.com:Esri/geoportal-server-harvester.git,/geoportal-SDK/geoportal-harvester-api-base/src/main/java/com/esri/geoportal/harvester/api/base/DataReferenceWrapper.java,104,com.esri.geoportal.harvester.api.base.DataReferenceWrapper#getOriginDataReference,2,none,1,0,0
6634791,blob,class,git@github.com:Esri/geoportal-server-harvester.git,/geoportal-connectors/geoportal-harvester-waf/src/main/java/com/esri/geoportal/harvester/waf/WafFolderContent.java,23,com.esri.geoportal.harvester.waf.WafFolderContent,6,minor,0,0,0
6633155,long method,function,git@github.com:Esri/geoportal-server-harvester.git,/geoportal-commons/geoportal-commons-dcat-client/src/main/java/com/esri/geoportal/commons/dcat/client/json/JsonAttributes.java,25,com.esri.geoportal.commons.dcat.client.json.JsonAttributes#toString,2,none,1,0,0
6632851,long method,function,git@github.com:Esri/geoportal-server-harvester.git,/geoportal-commons/geoportal-commons-dcat-client/src/main/java/com/esri/geoportal/commons/dcat/client/adaptors/DcatDistributionAdaptor.java,46,com.esri.geoportal.commons.dcat.client.adaptors.DcatDistributionAdaptor#getType,2,none,1,0,0
6634928,blob,class,git@github.com:Esri/geoportal-server-harvester.git,/geoportal-commons/geoportal-commons-geometry/src/main/java/com/esri/geoportal/geoportal/commons/geometry/GeometryService.java,201,com.esri.geoportal.geoportal.commons.geometry.GeometryService.MultiPointList,6,none,0,0,0
6633402,feature envy,function,git@github.com:Esri/maps-app-android.git,/maps-app/src/main/java/com/esri/android/mapsapp/MapFragment.java,735,com.esri.android.mapsapp.MapFragment#getSuggestions String,6,minor,0,0,0
6635481,data class,class,git@github.com:Esri/spatial-framework-for-hadoop.git,/hive/src/main/java/com/esri/hadoop/hive/ST_X.java,14,com.esri.hadoop.hive.ST_X,2,none,1,0,0
7031904,feature envy,function,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/AmazonS3EncryptionClient.java,291,com.ibm.cloud.objectstorage.services.s3.AmazonS3EncryptionClient.AmazonS3EncryptionClient AWSCredentials|EncryptionMaterialsProvider,2,none,1,0,0
7030976,feature envy,function,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/model/HeadBucketResult.java,69,com.ibm.cloud.objectstorage.services.s3.model.HeadBucketResult#withBucketRegion String,2,none,1,0,0
7032580,feature envy,function,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/internal/S3ErrorResponseHandler.java,207,com.ibm.cloud.objectstorage.services.s3.internal.S3ErrorResponseHandler#needsConnectionLeftOpen,2,none,1,0,0
7027539,data class,class,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-kms/src/main/java/com/ibm/cloud/objectstorage/services/kms/model/ListKeysResult.java,22,com.ibm.cloud.objectstorage.services.kms.model.ListKeysResult,6,minor,0,0,0
7043386,blob,class,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-kms/src/main/java/com/ibm/cloud/objectstorage/services/kms/model/transform/DescribeKeyRequestProtocolMarshaller.java,28,com.ibm.cloud.objectstorage.services.kms.model.transform.DescribeKeyRequestProtocolMarshaller,2,none,1,0,0
7043418,long method,function,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-core/src/main/java/com/ibm/cloud/objectstorage/internal/EC2CredentialsUtils.java,47,com.ibm.cloud.objectstorage.internal.EC2CredentialsUtils.EC2CredentialsUtils ConnectionUtils,2,none,1,0,0
7039207,blob,class,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/transfer/internal/TransferProgressUpdatingListener.java,21,com.ibm.cloud.objectstorage.services.s3.transfer.internal.TransferProgressUpdatingListener,2,none,1,0,0
7035620,data class,class,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-core/src/main/java/com/ibm/cloud/objectstorage/transform/SimpleTypeJsonUnmarshallers.java,154,com.ibm.cloud.objectstorage.transform.SimpleTypeJsonUnmarshallers.LongJsonUnmarshaller,2,none,1,0,0
7042338,blob,class,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/model/transform/FilterStaxUnmarshaller.java,23,com.ibm.cloud.objectstorage.services.s3.model.transform.FilterStaxUnmarshaller,2,none,1,0,0
7032722,data class,class,git@github.com:IBM/ibm-cos-sdk-java.git,/ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/model/transform/XmlResponsesSaxParser.java,2597,com.ibm.cloud.objectstorage.services.s3.model.transform.XmlResponsesSaxParser.BucketLifecycleConfigurationHandler,2,none,1,0,0
7022531,blob,class,git@github.com:IBM/janusgraph-utils.git,/src/main/java/com/ibm/janusgraph/utils/importer/util/Constants.java,18,com.ibm.janusgraph.utils.importer.util.Constants,2,none,1,0,0
7022945,feature envy,function,git@github.com:IBM/og.git,/og-client/src/main/java/com/ibm/og/client/ApacheClient.java,1057,com.ibm.og.client.ApacheClient.Builder#withAuthentication HttpAuth,2,none,1,0,0
7023392,feature envy,function,git@github.com:IBM/og.git,/og-configuration/src/main/java/com/ibm/og/guice/OGModule.java,3166,"com.ibm.og.guice.OGModule#provideRead Function<Map<String, String>, String>|Scheme|Function<Map<String, String>, String>|Integer|String|Function<Map<String, String>, String>|String|Function<Map<String, String>, String>|Map<String, Function<Map<String, String>, String>>|List<Function<Map<String, String>, String>>|Function<Map<String, String>, Credential>|boolean|boolean",2,none,1,0,0
7023035,feature envy,function,git@github.com:IBM/og.git,/og-configuration/src/main/java/com/ibm/og/cli/OperationStats.java,42,"com.ibm.og.cli.OperationStats.OperationStats Operation|long|long|long|Map<Integer, Long>|long|long",2,none,1,0,0
7110843,data class,class,git@github.com:Microsoft/ApplicationInsights-Java.git,/core/src/main/java/com/microsoft/applicationinsights/internal/processor/PageViewTelemetryFilter.java,48,com.microsoft.applicationinsights.internal.processor.PageViewTelemetryFilter,2,none,1,0,0
7111061,long method,function,git@github.com:Microsoft/ApplicationInsights-Java.git,/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/sql/PreparedStatementClassDataProvider.java,288,com.microsoft.applicationinsights.agent.internal.agent.sql.PreparedStatementClassDataProvider#addSqlite,2,none,1,0,0
7110627,feature envy,function,git@github.com:Microsoft/ApplicationInsights-Java.git,/core/src/main/java/com/microsoft/applicationinsights/internal/schemav2/AvailabilityData.java,212,com.microsoft.applicationinsights.internal.schemav2.AvailabilityData#getMeasurements,2,none,1,0,0
7137862,blob,class,git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,/EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/ui/adapter/viewholder/UserHeaderViewHolder.java,149,com.microsoft.embeddedsocial.ui.adapter.viewholder.UserHeaderViewHolder.UserHeaderClickListener,2,none,1,0,0
7134617,blob,class,git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,/EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/server/model/activity/ActivityFeedRequest.java,16,com.microsoft.embeddedsocial.server.model.activity.ActivityFeedRequest,2,none,1,0,0
7135236,data class,class,git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,/EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/fetcher/FriendlistFetcher.java,25,com.microsoft.embeddedsocial.fetcher.FriendlistFetcher,2,none,1,0,0
7119679,long method,function,git@github.com:Microsoft/azure-chat-for-java.git,/azchat-web/src/main/java/com/microsoftopentechnologies/azchat/web/data/beans/BaseBean.java,105,com.microsoftopentechnologies.azchat.web.data.beans.BaseBean#setMsg String,2,none,1,0,0
7120110,long method,function,git@github.com:Microsoft/azure-chat-for-java.git,/azchat-web/src/main/java/com/microsoftopentechnologies/azchat/web/data/beans/UserMessageBean.java,91,com.microsoftopentechnologies.azchat.web.data.beans.UserMessageBean#getMediaType,2,none,1,0,0
8316315,data class,class,git@github.com:Microsoft/azure-devops-intellij.git,/plugin.idea/src/com/microsoft/alm/plugin/idea/git/ui/pullrequest/VcsPullRequestsController.java,17,com.microsoft.alm.plugin.idea.git.ui.pullrequest.VcsPullRequestsController,2,none,1,0,0
7120318,blob,class,git@github.com:Microsoft/azure-maven-plugins.git,/azure-maven-plugin-lib/src/main/java/com/microsoft/azure/maven/AbstractAzureMojo.java,45,com.microsoft.azure.maven.AbstractAzureMojo,6,minor,0,0,1
7121075,long method,function,git@github.com:Microsoft/azure-maven-plugins.git,/azure-functions-maven-plugin/src/main/java/com/microsoft/azure/maven/function/RunMojo.java,89,com.microsoft.azure.maven.function.RunMojo#runFunctions CommandHandler,2,none,1,0,0
7148614,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/ApplicationSettings.java,58,com.microsoft.intellij.ApplicationSettings.State,6,none,0,0,0
7149120,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.hdinsight/src/com/microsoft/azuretools/hdinsight/Activator.java,38,com.microsoft.azuretools.hdinsight.Activator,2,none,1,0,0
7161125,data class,class,git@github.com:Microsoft/azure-tools-for-java.git,/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/helpers/InputValidator.java,30,com.microsoft.intellij.helpers.InputValidator,2,none,1,0,0
7160140,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/azure-explorer-common/src/com/microsoft/tooling/msservices/serviceexplorer/NodeAction.java,31,com.microsoft.tooling.msservices.serviceexplorer.NodeAction,2,none,1,0,0
7156185,feature envy,function,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/azure/datalake/analytics/accounts/models/AddStorageAccountParameters.java,97,com.microsoft.azure.hdinsight.sdk.rest.azure.datalake.analytics.accounts.models.AddStorageAccountParameters#withSuffix String,2,none,1,0,0
7157571,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/helpers/storage/BlobExplorerFileEditorProvider.java,41,com.microsoft.intellij.helpers.storage.BlobExplorerFileEditorProvider,2,none,1,0,0
7144792,long method,function,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/common/HttpResponse.java,34,"com.microsoft.azure.hdinsight.sdk.common.HttpResponse.HttpResponse int|String|Map<String, List<String>>|String",2,none,1,0,0
7148928,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.container/src/main/java/com/microsoft/azuretools/container/ui/DockerRunDialog.java,73,com.microsoft.azuretools.container.ui.DockerRunDialog,6,minor,0,0,1
7160761,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/azuretools-core/src/com/microsoft/azuretools/authmanage/srvpri/step/Status.java,28,com.microsoft.azuretools.authmanage.srvpri.step.Status,6,minor,0,0,0
7147207,data class,class,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/yarn/rm/Capability.java,26,com.microsoft.azure.hdinsight.sdk.rest.yarn.rm.Capability,8,minor,0,1,1
7148054,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/spark/task/ShuffleWriteMetrics.java,24,com.microsoft.azure.hdinsight.sdk.rest.spark.task.ShuffleWriteMetrics,8,minor,0,0,0
7152802,blob,class,git@github.com:Microsoft/azure-tools-for-java.git,/Utils/AzureAuthenticationFilter/src/main/java/com/microsoft/azure/oidc/token/impl/SimpeTokenParser.java,63,com.microsoft.azure.oidc.token.impl.SimpeTokenParser,2,none,1,0,0
7140272,blob,class,git@github.com:Microsoft/java-debug.git,/com.microsoft.java.debug.plugin/src/main/java/com/microsoft/java/debug/plugin/internal/LaunchCommandHandler.java,22,com.microsoft.java.debug.plugin.internal.LaunchCommandHandler,2,none,1,0,0
7139571,blob,class,git@github.com:Microsoft/java-debug.git,/com.microsoft.java.debug.plugin/src/main/java/com/microsoft/java/debug/plugin/internal/ResolveClasspathsHandler.java,42,com.microsoft.java.debug.plugin.internal.ResolveClasspathsHandler,2,none,1,0,0
7141052,long method,function,git@github.com:Microsoft/java-debug.git,/com.microsoft.java.debug.plugin/src/main/java/com/microsoft/java/debug/plugin/internal/JdtSourceLookUpProvider.java,246,com.microsoft.java.debug.plugin.internal.JdtSourceLookUpProvider.resolveClassFile String,2,none,1,0,0
7143647,blob,class,git@github.com:Microsoft/malmo.git,/Minecraft/src/main/java/com/microsoft/Malmo/MissionHandlers/VideoProducerImplementation.java,44,com.microsoft.Malmo.MissionHandlers.VideoProducerImplementation,6,none,0,0,0
7144407,data class,class,git@github.com:Microsoft/malmo.git,/Minecraft/src/main/java/com/microsoft/Malmo/Utils/TCPSocketChannel.java,15,com.microsoft.Malmo.Utils.TCPSocketChannel,6,none,0,0,0
7144021,data class,class,git@github.com:Microsoft/malmo.git,/Minecraft/src/main/java/com/microsoft/Malmo/MissionHandlers/ObservationFromHumanImplementation.java,29,com.microsoft.Malmo.MissionHandlers.ObservationFromHumanImplementation.MouseObservationEvent,6,none,0,0,0
7155736,long method,function,git@github.com:Microsoft/mssql-jdbc.git,/src/main/java/com/microsoft/sqlserver/jdbc/IOBuffer.java,988,com.microsoft.sqlserver.jdbc.TDSChannel.ProxyInputStream#read byte[],2,none,1,0,0
7156819,feature envy,function,git@github.com:Microsoft/mssql-jdbc.git,/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerDatabaseMetaData.java,1938,com.microsoft.sqlserver.jdbc.SQLServerDatabaseMetaData#supportsSubqueriesInQuantifieds,2,none,1,0,0
7155743,data class,class,git@github.com:Microsoft/mssql-jdbc.git,/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,1932,com.microsoft.sqlserver.jdbc.Segment,10,minor,0,0,0
7158488,feature envy,function,git@github.com:Microsoft/mssql-jdbc.git,/src/main/java/com/microsoft/sqlserver/jdbc/IOBuffer.java,6620,com.microsoft.sqlserver.jdbc.TDSReader#readIntBigEndian,2,none,1,0,0
7153322,blob,class,git@github.com:Microsoft/pai.git,/subprojects/frameworklauncher/yarn/src/main/java/com/microsoft/frameworklauncher/common/web/WebClientOutput.java,20,com.microsoft.frameworklauncher.common.web.WebClientOutput,2,none,1,0,0
7161553,data class,class,git@github.com:Microsoft/project-rome.git,/Android/samples/signinhelpers/src/main/java/com/microsoft/connecteddevices/signinhelpers/MSATokenRequest.java,36,com.microsoft.connecteddevices.signinhelpers.MSATokenRequest,8,none,0,0,0
7161584,feature envy,function,git@github.com:Microsoft/project-rome.git,/Android/samples/graphnotificationssample/app/src/main/java/com/microsoft/connecteddevices/graphnotifications/ConnectedDevicesManager.java,197,com.microsoft.connecteddevices.graphnotifications.ConnectedDevicesManager#setNotificationRegistration String,8,minor,0,0,0
7357164,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/TFSCommonUIClientPlugin.java,288,com.microsoft.tfs.client.common.ui.TFSCommonUIClientPlugin#sourceControlChanged boolean,2,none,1,0,0
7356682,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.jni/src/com/microsoft/tfs/jni/internal/negotiate/UnavailableNegotiate.java,33,com.microsoft.tfs.jni.internal.negotiate.UnavailableNegotiate#initialize,2,none,1,0,0
7327189,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/wit/controls/QueryItemTreeControl.java,52,com.microsoft.tfs.client.common.ui.wit.controls.QueryItemTreeControl,8,minor,0,0,1
7359431,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/tfs/versioncontrol/clientservices/_03/_RepositorySoap_QueryPendingChangesForWorkspaceResponse.java,77,ms.tfs.versioncontrol.clientservices._03._RepositorySoap_QueryPendingChangesForWorkspaceResponse#getFailures,2,none,1,0,0
7356708,data class,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/tfs/workitemtracking/configurationsettingsservice/_03/_ConfigurationSettingsServiceSoapService.java,53,ms.tfs.workitemtracking.configurationsettingsservice._03._ConfigurationSettingsServiceSoapService,6,major,0,0,0
7357470,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/framework/action/keybinding/LegacyActionKeyBindingSupport.java,33,com.microsoft.tfs.client.common.ui.framework.action.keybinding.LegacyActionKeyBindingSupport.LegacyActionKeyBindingSupport IWorkbench|Shell,2,none,1,0,0
7374308,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/dialogs/connect/CredentialsDialog.java,105,com.microsoft.tfs.client.common.ui.dialogs.connect.CredentialsDialog#setAlwaysSavePassword boolean,2,none,1,0,0
7357208,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.httpclient/src/com/microsoft/tfs/core/httpclient/UsernamePasswordCredentials.java,71,com.microsoft.tfs.core.httpclient.UsernamePasswordCredentials.UsernamePasswordCredentials String|String,2,none,1,0,0
7356604,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core/tests/com/microsoft/tfs/core/clients/workitem/internal/rules/WITContextStub.java,47,com.microsoft.tfs.core.clients.workitem.internal.rules.WITContextStub#addConstantSet int|boolean|boolean|boolean|boolean|IConstantSet,2,none,1,0,0
7374084,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.eclipse/src/com/microsoft/tfs/client/eclipse/project/ProjectCloseListener.java,25,com.microsoft.tfs.client.eclipse.project.ProjectCloseListener.ProjectCloseListener ProjectRepositoryManager,2,none,1,0,0
7356984,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core/src/com/microsoft/tfs/core/util/TSWAHyperlinkBuilder.java,518,com.microsoft.tfs.core.util.TSWAHyperlinkBuilder#formatQueryString String|String[],6,minor,0,0,0
7373719,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.eclipse.ui/src/com/microsoft/tfs/client/eclipse/ui/connectionconflict/EclipseUIConnectionConflictHandler.java,229,com.microsoft.tfs.client.eclipse.ui.connectionconflict.EclipseUIConnectionConflictHandler#notifyConflict,2,none,1,0,0
7341500,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.httpclient/src/com/microsoft/tfs/core/httpclient/HttpURL.java,539,com.microsoft.tfs.core.httpclient.HttpURL#getRawScheme,2,none,1,0,0
7322270,data class,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.util/src/com/microsoft/tfs/util/valid/IValidationMessage.java,30,com.microsoft.tfs.util.valid.IValidationMessage,2,none,1,0,0
7344807,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/tfs/workitemtracking/clientservices/_03/_ClientService3Soap_SyncExternalStructures.java,44,ms.tfs.workitemtracking.clientservices._03._ClientService3Soap_SyncExternalStructures._ClientService3Soap_SyncExternalStructures String,2,none,1,0,0
7353142,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/sql/reporting/reportingservices/_ScheduleDefinition.java,257,ms.sql.reporting.reportingservices._ScheduleDefinition#getMonthlyDOWRecurrence,2,none,1,0,0
7372800,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core/src/com/microsoft/tfs/core/persistence/LockMode.java,15,com.microsoft.tfs.core.persistence.LockMode,8,minor,0,0,0
7308975,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/tfs/services/authorization/_03/_AuthorizationServiceSoap_GetObjectClass.java,31,ms.tfs.services.authorization._03._AuthorizationServiceSoap_GetObjectClass,2,none,1,0,0
7324520,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core/src/com/microsoft/tfs/core/clients/workitem/form/WIFormSplitter.java,11,com.microsoft.tfs.core.clients.workitem.form.WIFormSplitter,2,none,1,0,0
7349490,data class,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/controls/vc/WorkspaceToolbarPulldownAction.java,270,com.microsoft.tfs.client.common.ui.controls.vc.WorkspaceToolbarPulldownAction.SwitchToWorkspaceAction,2,none,1,0,0
7323707,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/dialogs/vc/candidates/RestoreAction.java,55,com.microsoft.tfs.client.common.ui.dialogs.vc.candidates.RestoreAction#isVisible IStructuredSelection,6,none,0,0,0
7358328,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core/tests/com/microsoft/tfs/core/clients/versioncontrol/sparsetree/SparseTreeTests.java,715,com.microsoft.tfs.core.clients.versioncontrol.sparsetree.SparseTreeTests#test20,2,none,1,0,0
7313745,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/dialogs/vc/PromoteCandidateChangesDialog.java,89,com.microsoft.tfs.client.common.ui.dialogs.vc.PromoteCandidateChangesDialog#getTable,2,none,1,0,0
7322217,data class,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/sql/reporting/reportingservices/_ReportingService2005Soap_ValidateExtensionSettings.java,32,ms.sql.reporting.reportingservices._ReportingService2005Soap_ValidateExtensionSettings,9,minor,0,0,0
7362051,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.jni/src/com/microsoft/tfs/jni/appleforked/stream/AppleSingleDecoderStream.java,15,com.microsoft.tfs.jni.appleforked.stream.AppleSingleDecoderStream,2,none,1,0,0
7363484,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/tfs/workitemtracking/clientservices/_03/_ClientService4Soap_GetMetadataEx2.java,32,ms.tfs.workitemtracking.clientservices._03._ClientService4Soap_GetMetadataEx2,2,none,1,0,0
7302347,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/framework/dialog/BaseDialog.java,981,com.microsoft.tfs.client.common.ui.framework.dialog.BaseDialog.FirstPaintListener,2,none,1,0,0
7349010,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.jni/src/com/microsoft/tfs/jni/internal/ntlm/NativeNTLM.java,150,com.microsoft.tfs.jni.internal.ntlm.NativeNTLM#getErrorMessage NTLMState,2,none,1,0,0
7337150,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.core.ws/generated-src/ms/sql/reporting/reportingservices/_ReportingService2005SoapService.java,1659,ms.sql.reporting.reportingservices._ReportingService2005SoapService#listJobs,2,none,1,0,0
7301073,feature envy,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common/src/com/microsoft/tfs/client/common/commands/helpers/NonFatalErrorHelper.java,56,com.microsoft.tfs.client.common.commands.helpers.NonFatalErrorHelper.NonFatalErrorHelper Workspace,2,none,1,0,0
7355243,long method,function,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.common.ui/src/com/microsoft/tfs/client/common/ui/controls/teamexplorer/TeamExplorerControl.java,607,com.microsoft.tfs.client.common.ui.controls.teamexplorer.TeamExplorerControl.ProjectsMenuListener#createAction ProjectInfo|TeamConfiguration,4,major,0,0,0
7356691,blob,class,git@github.com:Microsoft/team-explorer-everywhere.git,/source/com.microsoft.tfs.client.clc/src/com/microsoft/tfs/client/clc/vc/commands/CommandShelvesets.java,34,com.microsoft.tfs.client.clc.vc.commands.CommandShelvesets,6,minor,0,0,0
