sample_id,smell,variant,fired_pmd,fired_ours,actual
7674551,long method,strategy,0,0,0
7699101,long method,strategy,0,0,0
7698738,long method,strategy,0,0,0
7694897,blob,strategy,0,0,0
7694897,blob,with_size,0,0,0
7693328,long method,strategy,0,0,0
7697841,long method,strategy,0,1,1
7700031,long method,strategy,0,0,0
3698602,feature envy,law_of_demeter,0,,0
3698665,feature envy,law_of_demeter,0,,0
3698323,blob,strategy,0,0,0
3698323,blob,with_size,0,0,0
3698860,long method,strategy,0,0,0
3699227,feature envy,law_of_demeter,0,,0
3709545,long method,strategy,0,0,0
3723043,data class,strategy,1,1,1
3715636,data class,strategy,1,1,1
3717506,blob,strategy,0,0,0
3717506,blob,with_size,0,0,0
3717549,long method,strategy,0,0,0
3722097,feature envy,law_of_demeter,0,,0
3721456,blob,strategy,0,0,0
3721456,blob,with_size,0,0,0
3722557,long method,strategy,0,0,0
3719020,long method,strategy,0,0,0
3717906,feature envy,law_of_demeter,0,,1
3710201,blob,strategy,0,0,0
3710201,blob,with_size,0,0,0
3699849,blob,strategy,0,0,0
3699849,blob,with_size,0,0,0
3700134,long method,strategy,0,0,0
3700666,data class,strategy,0,0,1
3701417,long method,strategy,0,0,0
3705164,data class,strategy,0,0,0
3701394,feature envy,law_of_demeter,0,,0
3702984,blob,strategy,1,0,1
3702984,blob,with_size,1,1,1
3703084,long method,strategy,0,0,0
3699521,long method,strategy,0,0,0
3701614,feature envy,law_of_demeter,0,,0
8151239,long method,strategy,0,0,0
8148121,feature envy,law_of_demeter,0,,1
8146289,blob,strategy,0,0,0
8146289,blob,with_size,0,0,0
8149386,data class,strategy,0,0,0
8146987,blob,strategy,0,0,0
8146987,blob,with_size,0,0,0
3753086,feature envy,law_of_demeter,0,,0
3753095,feature envy,law_of_demeter,0,,0
3757097,blob,strategy,0,0,1
3757097,blob,with_size,0,0,1
3730280,long method,strategy,0,0,0
3749791,long method,strategy,0,0,0
3743029,long method,strategy,0,0,0
3756805,blob,strategy,0,0,0
3756805,blob,with_size,0,0,0
3732429,blob,strategy,1,1,1
3732429,blob,with_size,1,1,1
3727277,long method,strategy,0,0,0
3727271,data class,strategy,0,0,1
3739360,long method,strategy,0,0,1
3754188,blob,strategy,0,0,0
3754188,blob,with_size,0,0,0
3711605,blob,strategy,0,0,1
3711605,blob,with_size,0,0,1
3762543,blob,strategy,0,0,0
3762543,blob,with_size,0,0,0
3772718,blob,strategy,0,0,0
3772718,blob,with_size,0,0,0
3797964,blob,strategy,0,0,1
3797964,blob,with_size,0,0,1
3761009,blob,strategy,0,0,0
3761009,blob,with_size,0,0,0
3796407,feature envy,law_of_demeter,0,,0
3787706,data class,strategy,0,0,0
3801914,long method,strategy,0,0,0
3795599,blob,strategy,0,0,0
3795599,blob,with_size,0,0,0
3797814,blob,strategy,0,0,1
3797814,blob,with_size,0,0,1
3804285,long method,strategy,0,0,0
3779095,data class,strategy,0,0,0
3803712,long method,strategy,0,0,0
3784303,long method,strategy,0,0,0
3759000,data class,strategy,0,0,0
3791832,blob,strategy,0,0,1
3791832,blob,with_size,0,1,1
3763789,long method,strategy,0,0,0
3799104,feature envy,law_of_demeter,0,,0
3804138,blob,strategy,0,0,0
3804138,blob,with_size,0,0,0
3724040,long method,strategy,0,0,0
3725605,data class,strategy,0,0,1
3725026,feature envy,law_of_demeter,0,,0
3735879,long method,strategy,0,0,0
3738168,long method,strategy,0,1,0
3742330,long method,strategy,0,0,0
3741534,feature envy,law_of_demeter,0,,0
3762849,feature envy,law_of_demeter,0,,0
3763661,blob,strategy,0,0,1
3763661,blob,with_size,0,0,1
3764238,blob,strategy,0,0,1
3764238,blob,with_size,0,1,1
3763847,blob,strategy,0,0,1
3763847,blob,with_size,0,0,1
3764491,data class,strategy,0,0,1
3791275,long method,strategy,0,0,0
3790421,long method,strategy,0,0,0
3790799,data class,strategy,0,0,1
3794102,feature envy,law_of_demeter,0,,0
3782985,feature envy,law_of_demeter,0,,0
3786480,blob,strategy,1,1,1
3786480,blob,with_size,1,1,1
3788627,blob,strategy,0,0,1
3788627,blob,with_size,0,1,1
3780834,feature envy,law_of_demeter,0,,0
3789205,blob,strategy,0,0,0
3789205,blob,with_size,0,0,0
3800392,long method,strategy,0,0,0
3772084,blob,strategy,0,0,0
3772084,blob,with_size,0,0,0
3775458,long method,strategy,0,0,0
3770892,long method,strategy,0,0,0
3785267,data class,strategy,0,0,0
3785309,long method,strategy,0,0,0
3929567,data class,strategy,0,0,0
3857363,long method,strategy,0,0,0
3868110,feature envy,law_of_demeter,0,,0
3873752,blob,strategy,0,0,0
3873752,blob,with_size,0,0,0
3877056,long method,strategy,0,0,0
3875268,feature envy,law_of_demeter,0,,0
3879070,feature envy,law_of_demeter,0,,0
3897581,blob,strategy,0,0,0
3897581,blob,with_size,0,0,0
3919445,data class,strategy,0,0,0
3920271,feature envy,law_of_demeter,0,,0
3922769,blob,strategy,0,0,0
3922769,blob,with_size,0,0,0
3921684,long method,strategy,0,0,0
3922790,blob,strategy,0,0,0
3922790,blob,with_size,0,0,0
3925764,blob,strategy,0,0,0
3925764,blob,with_size,0,0,0
3924383,feature envy,law_of_demeter,0,,0
3924454,long method,strategy,0,0,0
3926825,long method,strategy,0,0,0
3817323,data class,strategy,0,0,1
3822072,data class,strategy,0,0,0
3873715,blob,strategy,0,0,0
3873715,blob,with_size,0,0,0
3851625,long method,strategy,0,0,0
3901039,blob,strategy,0,0,0
3901039,blob,with_size,0,0,0
3827991,blob,strategy,0,0,0
3827991,blob,with_size,0,0,0
3913986,long method,strategy,0,0,0
3839517,blob,strategy,0,0,0
3839517,blob,with_size,0,0,0
3931329,feature envy,law_of_demeter,0,,0
3820002,data class,strategy,0,0,1
3827535,blob,strategy,1,0,1
3827535,blob,with_size,1,1,1
3856241,blob,strategy,1,0,0
3856241,blob,with_size,1,0,0
3923939,blob,strategy,0,1,0
3923939,blob,with_size,0,1,0
3924473,feature envy,law_of_demeter,0,,0
3897308,feature envy,law_of_demeter,0,,0
3905445,long method,strategy,0,0,0
3819835,data class,strategy,0,0,0
3878622,blob,strategy,0,0,0
3878622,blob,with_size,0,0,0
3868102,long method,strategy,0,0,0
3796929,data class,strategy,0,0,1
3809437,feature envy,law_of_demeter,0,,0
3807471,long method,strategy,0,0,1
3811653,long method,strategy,0,0,0
3825676,long method,strategy,0,0,0
3817294,long method,strategy,0,0,0
3808598,feature envy,law_of_demeter,0,,0
3828619,long method,strategy,0,0,0
3824920,long method,strategy,0,0,0
3812099,feature envy,law_of_demeter,0,,0
3829184,long method,strategy,0,0,0
3818939,long method,strategy,0,0,0
3823798,long method,strategy,0,0,0
3813750,blob,strategy,0,0,0
3813750,blob,with_size,0,0,0
3814167,feature envy,law_of_demeter,0,,0
3812473,blob,strategy,0,0,1
3812473,blob,with_size,0,0,1
3814315,blob,strategy,0,0,1
3814315,blob,with_size,0,0,1
8167612,data class,strategy,0,1,0
8169457,feature envy,law_of_demeter,0,,0
8169113,blob,strategy,0,0,1
8169113,blob,with_size,0,0,1
8181080,feature envy,law_of_demeter,0,,0
8172392,blob,strategy,0,0,0
8172392,blob,with_size,0,0,0
8180004,long method,strategy,0,0,0
8168864,data class,strategy,0,0,0
8169750,data class,strategy,0,0,1
8182379,long method,strategy,0,0,0
8165591,blob,strategy,1,1,1
8165591,blob,with_size,1,1,1
8187132,blob,strategy,0,0,1
8187132,blob,with_size,0,0,1
8186875,blob,strategy,0,0,1
8186875,blob,with_size,0,0,1
8183289,data class,strategy,0,0,0
8163123,feature envy,law_of_demeter,0,,0
8184933,feature envy,law_of_demeter,1,,0
8186858,long method,strategy,0,0,0
8187474,blob,strategy,0,0,0
8187474,blob,with_size,0,0,0
8177486,long method,strategy,0,0,0
8164457,blob,strategy,0,0,0
8164457,blob,with_size,0,0,0
8799964,blob,strategy,0,0,0
8799964,blob,with_size,0,0,0
8837684,long method,strategy,0,0,0
8795959,blob,strategy,0,0,0
8795959,blob,with_size,0,0,0
8836840,data class,strategy,0,0,0
8857568,feature envy,law_of_demeter,0,,0
8808076,blob,strategy,0,0,0
8808076,blob,with_size,0,0,0
8792214,data class,strategy,0,0,0
8791597,feature envy,law_of_demeter,0,,1
8812297,feature envy,law_of_demeter,0,,0
8827191,data class,strategy,0,0,0
8845708,long method,strategy,0,0,0
8753783,data class,strategy,0,0,0
8861277,long method,strategy,0,0,1
8841762,long method,strategy,0,0,0
8801664,long method,strategy,0,0,0
8834964,feature envy,law_of_demeter,0,,0
8804785,blob,strategy,0,0,1
8804785,blob,with_size,0,0,1
8850497,feature envy,law_of_demeter,0,,0
8828539,feature envy,law_of_demeter,0,,0
8844288,feature envy,law_of_demeter,0,,0
3849158,long method,strategy,0,0,0
3856911,long method,strategy,0,0,1
3862792,blob,strategy,0,0,0
3862792,blob,with_size,0,0,0
3871308,long method,strategy,0,0,0
3870545,long method,strategy,0,0,0
3875995,long method,strategy,0,0,0
3876033,long method,strategy,0,0,0
3879965,blob,strategy,0,0,0
3879965,blob,with_size,0,0,0
3879673,long method,strategy,0,0,0
3858066,data class,strategy,1,1,1
3874200,data class,strategy,0,0,1
3846700,blob,strategy,0,0,0
3846700,blob,with_size,0,0,0
3873345,long method,strategy,0,0,0
3860739,blob,strategy,0,0,1
3860739,blob,with_size,0,0,1
3858217,long method,strategy,0,0,0
3863486,blob,strategy,0,0,0
3863486,blob,with_size,0,0,0
3864226,long method,strategy,0,0,0
3862557,blob,strategy,0,0,0
3862557,blob,with_size,0,0,0
3881454,blob,strategy,0,0,0
3881454,blob,with_size,0,0,0
3843851,feature envy,law_of_demeter,0,,0
3872015,long method,strategy,0,0,0
3851209,long method,strategy,0,0,0
3877118,long method,strategy,0,1,1
3882178,feature envy,law_of_demeter,0,,0
3848916,long method,strategy,0,0,0
3856873,data class,strategy,0,0,0
3856345,long method,strategy,0,0,1
3859697,feature envy,law_of_demeter,0,,0
3857472,blob,strategy,0,0,1
3857472,blob,with_size,0,0,1
3850165,blob,strategy,0,0,1
3850165,blob,with_size,0,0,1
3869760,blob,strategy,0,0,0
3869760,blob,with_size,0,0,0
3868603,long method,strategy,0,0,0
3868578,data class,strategy,0,0,0
3869246,long method,strategy,0,0,0
3904736,long method,strategy,0,0,0
3909025,long method,strategy,0,0,0
3904181,blob,strategy,0,0,0
3904181,blob,with_size,0,0,0
3898760,data class,strategy,0,0,0
3888598,blob,strategy,0,0,0
3888598,blob,with_size,0,1,0
3891048,blob,strategy,0,0,0
3891048,blob,with_size,0,0,0
3888459,data class,strategy,0,0,0
3893413,long method,strategy,0,0,1
3945199,long method,strategy,0,0,0
3952980,long method,strategy,0,0,0
3954827,blob,strategy,0,0,1
3954827,blob,with_size,0,0,1
3962016,blob,strategy,0,0,0
3962016,blob,with_size,0,0,0
3943759,data class,strategy,0,0,0
3964331,feature envy,law_of_demeter,0,,0
3953485,blob,strategy,0,0,1
3953485,blob,with_size,0,0,1
3963415,feature envy,law_of_demeter,0,,0
3963239,blob,strategy,0,0,0
3963239,blob,with_size,0,0,0
3946225,data class,strategy,0,0,0
3951549,long method,strategy,1,1,1
3918098,feature envy,law_of_demeter,0,,0
3917715,data class,strategy,0,0,1
3918287,data class,strategy,0,0,1
3908492,blob,strategy,0,0,1
3908492,blob,with_size,0,0,1
3908026,data class,strategy,0,0,0
3919083,feature envy,law_of_demeter,0,,0
3918920,feature envy,law_of_demeter,0,,0
3918943,feature envy,law_of_demeter,1,,1
3920625,data class,strategy,1,1,1
3922485,long method,strategy,0,0,1
3922349,long method,strategy,0,1,1
3938271,data class,strategy,0,0,1
3943609,data class,strategy,0,0,0
3945737,blob,strategy,0,0,0
3945737,blob,with_size,0,0,0
3947756,long method,strategy,0,0,0
3939400,blob,strategy,0,0,0
3939400,blob,with_size,0,0,0
3940746,blob,strategy,0,0,0
3940746,blob,with_size,0,0,0
3942114,blob,strategy,0,0,0
3942114,blob,with_size,0,0,0
3937045,blob,strategy,0,0,0
3937045,blob,with_size,0,0,0
3945316,long method,strategy,0,0,0
3936103,data class,strategy,0,0,0
3942097,feature envy,law_of_demeter,0,,1
3940072,long method,strategy,0,0,1
3933339,feature envy,law_of_demeter,0,,0
3940608,blob,strategy,0,0,0
3940608,blob,with_size,0,0,0
3937197,blob,strategy,0,0,0
3937197,blob,with_size,0,0,0
4038375,long method,strategy,0,0,0
4042826,blob,strategy,0,0,0
4042826,blob,with_size,0,0,0
4043468,long method,strategy,0,0,0
4043104,feature envy,law_of_demeter,0,,0
4045122,feature envy,law_of_demeter,0,,0
4045338,long method,strategy,0,0,0
4059863,data class,strategy,0,0,0
4057674,long method,strategy,0,0,0
4073701,long method,strategy,0,0,0
4074246,blob,strategy,0,0,0
4074246,blob,with_size,0,0,0
4075287,blob,strategy,0,0,0
4075287,blob,with_size,0,0,0
4074807,long method,strategy,0,0,0
4096226,data class,strategy,0,0,0
4095182,feature envy,law_of_demeter,0,,0
4096115,data class,strategy,0,0,0
4097968,long method,strategy,0,0,0
4101310,data class,strategy,0,0,0
4104993,feature envy,law_of_demeter,0,,0
4105521,blob,strategy,0,0,0
4105521,blob,with_size,0,0,0
4092105,feature envy,law_of_demeter,0,,1
4043845,data class,strategy,0,0,0
4083880,long method,strategy,0,0,0
4095326,data class,strategy,0,0,0
4068177,long method,strategy,0,0,0
4039655,blob,strategy,0,0,0
4039655,blob,with_size,0,0,0
4044091,long method,strategy,0,0,0
4093032,data class,strategy,0,0,0
4098093,long method,strategy,0,0,0
4089742,feature envy,law_of_demeter,0,,0
4064087,data class,strategy,0,0,0
4045091,data class,strategy,0,0,0
4087381,blob,strategy,0,0,0
4087381,blob,with_size,0,0,0
4108183,blob,strategy,0,0,0
4108183,blob,with_size,0,1,0
4045146,blob,strategy,0,0,0
4045146,blob,with_size,0,0,0
4095482,long method,strategy,0,1,1
4081252,feature envy,law_of_demeter,0,,1
3949836,blob,strategy,0,0,0
3949836,blob,with_size,0,0,0
3952888,data class,strategy,0,1,0
3961246,long method,strategy,0,0,0
3950225,data class,strategy,0,0,0
3977475,data class,strategy,0,0,0
3985224,blob,strategy,0,0,0
3985224,blob,with_size,0,0,0
3985516,feature envy,law_of_demeter,0,,0
3987166,feature envy,law_of_demeter,0,,0
3986050,feature envy,law_of_demeter,0,,0
3986717,long method,strategy,0,1,1
3986210,long method,strategy,0,0,0
3985971,data class,strategy,0,0,0
3985009,blob,strategy,0,0,0
3985009,blob,with_size,0,0,0
3977344,blob,strategy,0,0,1
3977344,blob,with_size,0,0,1
3983972,feature envy,law_of_demeter,0,,0
3975932,blob,strategy,0,0,0
3975932,blob,with_size,0,0,0
3981428,long method,strategy,0,0,0
3988323,long method,strategy,0,0,0
3981336,blob,strategy,0,0,0
3981336,blob,with_size,0,0,0
3972555,data class,strategy,0,0,0
3974401,blob,strategy,0,0,0
3974401,blob,with_size,0,0,0
3970015,blob,strategy,0,0,1
3970015,blob,with_size,0,0,1
3969522,blob,strategy,0,0,0
3969522,blob,with_size,0,0,0
3974746,feature envy,law_of_demeter,0,,0
3974797,blob,strategy,0,0,1
3974797,blob,with_size,0,0,1
3972251,blob,strategy,0,0,0
3972251,blob,with_size,0,0,0
3975605,long method,strategy,0,0,0
3978398,blob,strategy,0,0,0
3978398,blob,with_size,0,0,0
4002437,long method,strategy,0,0,0
4004665,long method,strategy,0,0,0
3993481,long method,strategy,0,0,0
3993530,data class,strategy,0,0,0
4003009,blob,strategy,0,0,0
4003009,blob,with_size,0,0,0
4005583,long method,strategy,0,0,0
3998684,long method,strategy,0,0,0
4010920,blob,strategy,0,0,0
4010920,blob,with_size,0,0,0
4008191,blob,strategy,0,0,0
4008191,blob,with_size,0,0,0
3988942,long method,strategy,0,0,0
3992626,feature envy,law_of_demeter,0,,1
3993831,long method,strategy,0,1,0
4004762,blob,strategy,0,0,1
4004762,blob,with_size,0,0,1
4039372,data class,strategy,0,0,0
4038193,feature envy,law_of_demeter,0,,0
4040842,blob,strategy,0,0,1
4040842,blob,with_size,0,0,1
4044534,blob,strategy,0,0,0
4044534,blob,with_size,0,0,0
4058195,data class,strategy,0,0,0
4059172,feature envy,law_of_demeter,0,,0
4031529,long method,strategy,0,0,0
4031820,data class,strategy,0,0,0
4034186,data class,strategy,0,0,0
4046009,blob,strategy,0,0,1
4046009,blob,with_size,0,0,1
4066245,blob,strategy,0,0,0
4066245,blob,with_size,0,0,0
4051509,blob,strategy,0,0,0
4051509,blob,with_size,0,0,0
4032784,blob,strategy,0,0,0
4032784,blob,with_size,0,0,0
4027396,data class,strategy,0,0,0
4028511,blob,strategy,0,0,0
4028511,blob,with_size,0,0,0
4069688,blob,strategy,0,0,0
4069688,blob,with_size,0,0,0
4032154,feature envy,law_of_demeter,0,,0
4063507,blob,strategy,0,0,0
4063507,blob,with_size,0,0,0
4028364,long method,strategy,0,1,1
4059491,feature envy,law_of_demeter,0,,0
4051372,long method,strategy,0,0,0
4034686,blob,strategy,1,0,1
4034686,blob,with_size,1,1,1
4031193,blob,strategy,0,0,0
4031193,blob,with_size,0,0,0
4042780,data class,strategy,0,0,0
4055848,long method,strategy,0,0,0
4041399,feature envy,law_of_demeter,0,,0
4055860,data class,strategy,0,0,0
4042328,long method,strategy,0,0,0
4050604,blob,strategy,0,0,0
4050604,blob,with_size,0,0,0
4062999,feature envy,law_of_demeter,0,,0
4042280,long method,strategy,0,0,0
4045943,data class,strategy,0,0,0
4051558,data class,strategy,0,0,0
4035683,data class,strategy,0,0,1
4029077,blob,strategy,0,0,0
4029077,blob,with_size,0,0,0
4106292,blob,strategy,0,0,0
4106292,blob,with_size,0,0,0
4106345,long method,strategy,0,0,0
4106430,long method,strategy,0,0,0
4106696,feature envy,law_of_demeter,0,,0
4059685,blob,strategy,0,0,0
4059685,blob,with_size,0,0,0
4057866,long method,strategy,0,0,0
4070938,blob,strategy,1,1,1
4070938,blob,with_size,1,1,1
4073835,long method,strategy,0,0,0
4072654,long method,strategy,0,0,0
4072597,feature envy,law_of_demeter,0,,0
4075888,long method,strategy,0,0,0
4078869,data class,strategy,0,0,0
4088995,data class,strategy,0,0,0
4062660,data class,strategy,0,0,0
4069589,long method,strategy,0,0,0
4068444,blob,strategy,1,1,1
4068444,blob,with_size,1,1,1
4090808,blob,strategy,0,0,0
4090808,blob,with_size,0,0,0
4088843,long method,strategy,0,0,0
4110958,blob,strategy,0,0,0
4110958,blob,with_size,0,0,0
4112198,feature envy,law_of_demeter,0,,0
4123555,blob,strategy,0,0,0
4123555,blob,with_size,0,0,0
4122935,feature envy,law_of_demeter,0,,0
4124650,long method,strategy,0,0,0
4122553,data class,strategy,0,0,0
4124615,blob,strategy,0,0,1
4124615,blob,with_size,0,0,1
4110816,long method,strategy,0,0,0
4110001,long method,strategy,0,1,1
4113343,blob,strategy,0,0,0
4113343,blob,with_size,0,0,0
4115525,blob,strategy,0,0,0
4115525,blob,with_size,0,0,0
4113404,long method,strategy,0,0,0
4109372,blob,strategy,0,0,0
4109372,blob,with_size,0,0,0
4116762,long method,strategy,0,0,0
4101390,feature envy,law_of_demeter,0,,0
4159107,blob,strategy,0,0,0
4159107,blob,with_size,0,0,0
4151853,feature envy,law_of_demeter,0,,0
4159069,feature envy,law_of_demeter,0,,0
4157934,long method,strategy,0,0,0
4159543,blob,strategy,0,0,0
4159543,blob,with_size,0,1,0
4126029,blob,strategy,0,0,0
4126029,blob,with_size,0,0,0
4130065,data class,strategy,0,0,1
4136680,blob,strategy,0,0,0
4136680,blob,with_size,0,0,0
4137834,long method,strategy,0,0,0
4138124,feature envy,law_of_demeter,0,,0
4139979,data class,strategy,0,0,0
4140191,long method,strategy,0,0,0
4141778,blob,strategy,0,0,0
4141778,blob,with_size,0,0,0
4130189,feature envy,law_of_demeter,0,,0
4140914,feature envy,law_of_demeter,0,,0
4139640,feature envy,law_of_demeter,0,,0
4142085,data class,strategy,0,0,0
4144475,long method,strategy,0,0,0
4132083,long method,strategy,0,0,0
4131952,blob,strategy,1,0,1
4131952,blob,with_size,1,1,1
4132362,feature envy,law_of_demeter,0,,0
4129438,data class,strategy,0,0,0
4135708,data class,strategy,0,0,0
4144417,feature envy,law_of_demeter,0,,0
4135214,feature envy,law_of_demeter,0,,0
4140046,long method,strategy,0,0,0
4128743,long method,strategy,0,0,0
8400746,blob,strategy,0,0,1
8400746,blob,with_size,0,1,1
8417770,long method,strategy,0,0,0
8419610,feature envy,law_of_demeter,0,,0
8418552,long method,strategy,0,0,0
8423597,data class,strategy,1,1,0
8423791,feature envy,law_of_demeter,0,,0
8422970,feature envy,law_of_demeter,0,,0
8424426,blob,strategy,0,0,0
8424426,blob,with_size,0,0,0
8423865,feature envy,law_of_demeter,0,,0
