review_id,refactoring,smell,class_name,method,file,ordinal,behaviour,benefit,acceptance,note
EM14,ExtractMethod,LongMethod,PageDrawer,showTransparencyGroup,apache__pdfbox__443b7dd95c57/pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,7,,,,
EM15,ExtractMethod,LongMethod,JSAMDEmitter,emitDefaultParameterCodeBlock,apache__royale-compiler__fbd9bc3b9e48/compiler-jx/src/main/java/org/apache/royale/compiler/internal/codegen/js/amd/JSAMDEmitter.java,3,,,,
EM16,ExtractMethod,LongMethod,ImportProjectJob,importAsGeneralProject,aws__aws-toolkit-eclipse__49026f53fdd4/bundles/com.amazonaws.eclipse.core/src/com/amazonaws/eclipse/core/egit/jobs/ImportProjectJob.java,0,,,,
EM17,ExtractMethod,LongMethod,ClasspathInitializerTests,testContainerInitializer17,eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/ClasspathInitializerTests.java,5,,,,
EM18,ExtractMethod,LongMethod,ASTRewriteFlattener,visit,eclipse__eclipse.jdt.core__24d47c292ed4/org.eclipse.jdt.core/dom/org/eclipse/jdt/internal/core/dom/rewrite/ASTRewriteFlattener.java,2,,,,
EM19,ExtractMethod,LongMethod,BindingModel,refresh,eclipse__eclipse.platform.ui__e3bbb556534a/bundles/org.eclipse.ui.workbench/Eclipse UI/org/eclipse/ui/internal/keys/model/BindingModel.java,2,,,,
EM20,ExtractMethod,LongMethod,InternalN4JSLexer,mPrivate,eclipse__n4js__f715912fce03/plugins/org.eclipse.n4js.ui/src-gen/org/eclipse/n4js/ui/contentassist/antlr/lexer/InternalN4JSLexer.java,28,,,,
IPO01,IntroduceParameterObject,LongParameterList,SqlValidatorImpl,addOrExpandField,apache__calcite__a648f9c12309/core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java,6,,,,
IPO02,IntroduceParameterObject,LongParameterList,SoapBindingFactory,handleMimePart,apache__cxf__6bf89e9c8804/rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/SoapBindingFactory.java,17,,,,
IPO03,IntroduceParameterObject,LongParameterList,IndexStatisticsDaemonImpl,writeUpdatedStats,apache__derby__bd246fc89d4f/java/org.apache.derby.engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java,5,,,,
IPO04,IntroduceParameterObject,LongParameterList,DMLModStatementNode,fkSetupArrays,apache__derby__bd246fc89d4f/java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DMLModStatementNode.java,11,,,,
IPO05,IntroduceParameterObject,LongParameterList,ServerControl,insertEmployeeSampleRecord,apache__empire-db__933dce5536fe/empire-db-examples/empire-db-example-cxf/src/main/java/org/apache/empire/samples/cxf/wssample/server/ServerControl.java,0,,,,
IPO06,IntroduceParameterObject,LongParameterList,OozieWorkflowEngine,updateInternal,apache__falcon__470e5e9f5de9/oozie/src/main/java/org/apache/falcon/workflow/engine/OozieWorkflowEngine.java,23,,,,
IPO07,IntroduceParameterObject,LongParameterList,FSUtils,copyFiles,apache__hbase__44f8abd5c65c/hbase-server/src/main/java/org/apache/hadoop/hbase/util/FSUtils.java,16,,,,
IPO08,IntroduceParameterObject,LongParameterList,SemanticAnalyzer,genGroupByPlanGroupByOperator,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,70,,,,
IPO09,IntroduceParameterObject,LongParameterList,SemanticAnalyzer,getDistinctColIndicesForReduceSink,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,82,,,,
IPO10,IntroduceParameterObject,LongParameterList,SemanticAnalyzer,genBucketingSortingDest,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,99,,,,
IPO11,IntroduceParameterObject,LongParameterList,SemanticAnalyzer,genPartnCols,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,100,,,,
IPO12,IntroduceParameterObject,LongParameterList,SemanticAnalyzer,genSamplePredicate,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,172,,,,
IPO13,IntroduceParameterObject,LongParameterList,MetricConfigResource,populateMetricConfig,apache__incubator-pinot__d58f8bce4b59/thirdeye/thirdeye-pinot/src/main/java/org/apache/pinot/thirdeye/dashboard/resources/MetricConfigResource.java,1,,,,
IPO14,IntroduceParameterObject,LongParameterList,GTCubeStorageQueryBase,enableStorageLimitIfPossible,apache__kylin__6ee0212af9d5/core-storage/src/main/java/org/apache/kylin/storage/gtrecord/GTCubeStorageQueryBase.java,4,,,,
IPO15,IntroduceParameterObject,LongParameterList,GTCubeStorageQueryBase,isExactAggregation,apache__kylin__6ee0212af9d5/core-storage/src/main/java/org/apache/kylin/storage/gtrecord/GTCubeStorageQueryBase.java,6,,,,
IPO16,IntroduceParameterObject,LongParameterList,MemoryConsumptionTestClient,generateCSV,apache__qpid-broker-j__4c4400b98a5a/tools/src/main/java/org/apache/qpid/tools/MemoryConsumptionTestClient.java,1,,,,
IPO17,IntroduceParameterObject,LongParameterList,WordExtractor,handleParagraph,apache__tika__4131c6e30f2e/tika-parsers/src/main/java/org/apache/tika/parser/microsoft/WordExtractor.java,6,,,,
IPO18,IntroduceParameterObject,LongParameterList,TreeItemHandler,createMouseEvent,eclipse__reddeer__59e55d29fc60/plugins/org.eclipse.reddeer.core/src/org/eclipse/reddeer/core/handler/TreeItemHandler.java,0,,,,
IPO19,IntroduceParameterObject,LongParameterList,QuartzGFXCMD,getGradient,google__sagetv__a35e3a450b4c/java/sage/miniclient/QuartzGFXCMD.java,0,,,,
IPO20,IntroduceParameterObject,LongParameterList,SecurityContextHolderMTTests,makeThread,spring-projects__spring-security__8dd2864dea3d/itest/misc/src/integration-test/java/org/springframework/security/context/SecurityContextHolderMTTests.java,3,,,,
RNC01,ReplaceNestedConditionalWithGuardClauses,DeepNesting,HeaderParser,parse,SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/javax/swing/JEditorPane.java,10,,,,
RNC02,ReplaceNestedConditionalWithGuardClauses,DeepNesting,NativeKeyHolder,releaseKeyID,SAP__SapMachine__6e62561730c4/src/jdk.crypto.cryptoki/share/classes/sun/security/pkcs11/P11Key.java,10,,,,
RNC03,ReplaceNestedConditionalWithGuardClauses,DeepNesting,X86Frame,adjustForDeopt,SAP__SapMachine__6e62561730c4/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/runtime/x86/X86Frame.java,0,,,,
RNC04,ReplaceNestedConditionalWithGuardClauses,DeepNesting,AmbariManagementControllerImpl,validateAuthorizationToUpdateServiceUsersAndGroups,apache__ambari__2bc4779a1e6a/ambari-server/src/main/java/org/apache/ambari/server/controller/AmbariManagementControllerImpl.java,72,,,,
RNC05,ReplaceNestedConditionalWithGuardClauses,DeepNesting,IvySettings,configureRepositories,apache__ant-ivy__4ffcf8f06f23/src/java/org/apache/ivy/core/settings/IvySettings.java,2,,,,
RNC06,ReplaceNestedConditionalWithGuardClauses,DeepNesting,BorderPainter,drawBorderSegment,apache__fop__caced35327f6/fop-core/src/main/java/org/apache/fop/render/intermediate/BorderPainter.java,6,,,,
RNC07,ReplaceNestedConditionalWithGuardClauses,DeepNesting,DistributedRegion,checkForLimitedOrNoAccess,apache__geode__8fd839e8b73e/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedRegion.java,9,,,,
RNC08,ReplaceNestedConditionalWithGuardClauses,DeepNesting,JobInProgress,addTrackerTaskFailure,apache__hadoop-mapreduce__307cb5b316e1/src/java/org/apache/hadoop/mapred/JobInProgress.java,12,,,,
RNC09,ReplaceNestedConditionalWithGuardClauses,DeepNesting,SemanticAnalyzer,checkNoScan,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,217,,,,
RNC10,ReplaceNestedConditionalWithGuardClauses,DeepNesting,PingFuture,onTimeout,apache__ignite__7a7c407ea414/modules/zookeeper/src/main/java/org/apache/ignite/spi/discovery/zk/internal/ZookeeperDiscoveryImpl.java,44,,,,
RNC11,ReplaceNestedConditionalWithGuardClauses,DeepNesting,FSTTermsWriter,close,apache__lucene-solr__bca22d58e2d1/lucene/codecs/src/java/org/apache/lucene/codecs/memory/FSTTermsWriter.java,0,,,,
RNC12,ReplaceNestedConditionalWithGuardClauses,DeepNesting,TrackerClass,printForensics,apache__manifoldcf__542db79eb866/framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/jobs/TrackerClass.java,0,,,,
RNC13,ReplaceNestedConditionalWithGuardClauses,DeepNesting,AbstractJavadocMojo,addArgIfNotEmpty,apache__maven-javadoc-plugin__3ab15eb9ec04/src/main/java/org/apache/maven/plugins/javadoc/AbstractJavadocMojo.java,20,,,,
RNC14,ReplaceNestedConditionalWithGuardClauses,DeepNesting,AbstractQueue,registerTransaction,apache__qpid-broker-j__4c4400b98a5a/broker-core/src/main/java/org/apache/qpid/server/queue/AbstractQueue.java,20,,,,
RNC15,ReplaceNestedConditionalWithGuardClauses,DeepNesting,FlowToDiskCheckingTask,execute,apache__qpid-broker-j__4c4400b98a5a/broker-core/src/main/java/org/apache/qpid/server/virtualhost/AbstractVirtualHost.java,15,,,,
RNC16,ReplaceNestedConditionalWithGuardClauses,DeepNesting,ReconcileQuery,parseProperty,apache__stanbol__2fcf471b467f/entityhub/jersey/src/main/java/org/apache/stanbol/entityhub/jersey/grefine/ReconcileQuery.java,3,,,,
RNC17,ReplaceNestedConditionalWithGuardClauses,DeepNesting,WordExtractor,handleHeaderFooter,apache__tika__4131c6e30f2e/tika-parsers/src/main/java/org/apache/tika/parser/microsoft/WordExtractor.java,3,,,,
RNC18,ReplaceNestedConditionalWithGuardClauses,DeepNesting,FinishedJobs,checkTasks,eclipse__eclipse.platform.ui__e3bbb556534a/bundles/org.eclipse.e4.ui.progress/src/org/eclipse/e4/ui/progress/internal/FinishedJobs.java,1,,,,
RNC19,ReplaceNestedConditionalWithGuardClauses,DeepNesting,Seeker,unmountPaths,google__sagetv__a35e3a450b4c/java/sage/Seeker.java,87,,,,
RNC20,ReplaceNestedConditionalWithGuardClauses,DeepNesting,GrailsProcessListener,handleDebugEvents,spring-projects__grails-ide__cb5162c5a7fc/org.grails.ide.eclipse.core/src/org/grails/ide/eclipse/core/launch/GrailsLaunchConfigurationDelegate.java,3,,,,
