sample_id,smell,severity,failed,sole_blocker,shortfall
6166594,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.6364 WMC=0.1702
6192975,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.3333 WMC=0.2553
6197424,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.8148 WMC=0.3404
6204790,blob,major,WMC TCC,,TCC=0.3333 WMC=0.1277
6207228,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.2553
6213445,blob,minor,WMC ATFD,,ATFD=0.2 WMC=0.1702
6214208,blob,minor,WMC,WMC,WMC=0.1489
6216254,blob,minor,WMC,WMC,WMC=0.8723
6239751,blob,minor,WMC,WMC,WMC=0.4043
6245494,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2979
6254667,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1489
6261774,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
6266289,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.3333 WMC=0.1702
6266636,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.3333 WMC=0.0426
6279768,blob,minor,WMC ATFD,,ATFD=0.8 WMC=0.4681
6293765,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.7234
6306158,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=0.3333 WMC=0.3404
6330576,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.1064
6358306,blob,minor,ATFD,ATFD,ATFD=1
6371049,blob,minor,WMC ATFD,,ATFD=0.6 WMC=0.5532
6374724,blob,minor,TCC,TCC,TCC=0.7027
6383930,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.7 WMC=0.2553
6406137,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.8333 WMC=0.2128
6413795,blob,minor,WMC,WMC,WMC=0.5532
6445238,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1702
6480563,blob,minor,WMC ATFD,,ATFD=0 WMC=0.5745
6493535,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.2553
6511935,blob,minor,WMC,WMC,WMC=0.3617
6544247,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2553
6547476,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1489
6548259,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
6554999,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.4255
6562309,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.5106
6571855,blob,major,WMC,WMC,WMC=0.7021
6578541,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.8333 WMC=0.4255
6603072,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1702
6621005,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.2553
6624209,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.3404
6634791,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0851
6638995,blob,minor,WMC,WMC,WMC=0.2553
6717886,blob,minor,WMC ATFD,,ATFD=0.6 WMC=0.1702
6785826,blob,minor,ATFD,ATFD,ATFD=0.4
6834927,blob,minor,WMC ATFD,,ATFD=0 WMC=0.234
6847478,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.4 WMC=0.5532
6858059,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.2553
6879905,blob,minor,WMC ATFD,,ATFD=0.2 WMC=0.1277
6920729,blob,minor,WMC,WMC,WMC=0.4681
6983516,blob,minor,WMC,WMC,WMC=0.5957
6999436,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.7021
7005369,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=0.6667 WMC=0.234
7007225,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=1 WMC=0.0851
7036119,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.1489
7047868,blob,minor,TCC,TCC,TCC=0.3333
7077189,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
7100929,blob,minor,TCC ATFD,,ATFD=0.2 TCC=0.6
7120318,blob,minor,ATFD,ATFD,ATFD=0.6
7129689,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
7134420,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.1702
7148054,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1277
7148928,blob,minor,TCC,TCC,TCC=0.3333
7160761,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.6667 WMC=0.1064
7210083,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
7239385,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
7247219,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1702
7268617,blob,major,WMC ATFD,,ATFD=0 WMC=0.383
7274207,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.4681
7276572,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1702
7294947,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1915
7295107,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.3333 WMC=0.0213
7301167,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0851
7303656,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.3404
7307441,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
7327189,blob,minor,WMC ATFD,,ATFD=0.8 WMC=0.2553
7336602,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.4545 WMC=0.2553
7341316,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.7778 WMC=0.1915
7351641,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1915
7356691,blob,minor,WMC,WMC,WMC=0.4468
7369780,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2766
7372240,blob,minor,TCC,TCC,TCC=0.3333
7372800,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
7386253,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.4444 WMC=0.1915
7391055,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0
7399428,blob,minor,TCC ATFD,,ATFD=0.4 TCC=1
7418065,blob,minor,WMC,WMC,WMC=0.6596
7423016,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
7428769,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.0851
7446885,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0851
7457996,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
7468700,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
7481501,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
7482608,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
7501187,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1064
7605003,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1702
7623277,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.3404
7631100,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=1 WMC=0.5532
7655847,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=0.6667 WMC=0.383
7677023,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.7234
7681481,blob,minor,WMC ATFD,,ATFD=1 WMC=0.8511
7689561,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.549 WMC=0.617
7722604,blob,minor,WMC ATFD,,ATFD=0 WMC=0.5745
7747098,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.7021
7754810,blob,minor,TCC,TCC,TCC=1
7762191,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
7801178,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
7824709,blob,minor,WMC,WMC,WMC=0.9149
7863608,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.5319
7942242,blob,minor,WMC ATFD,,ATFD=0.2 WMC=0.1277
7986025,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.383
8025468,blob,minor,TCC,TCC,TCC=0.3333
8043712,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
8044367,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1702
8065474,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2128
8099651,blob,minor,WMC ATFD,,ATFD=0.8 WMC=0.6809
8119000,blob,minor,TCC ATFD,,ATFD=0 TCC=0.3333
8140286,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1064
8142421,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=1 WMC=0.3404
8169113,blob,minor,WMC ATFD,,ATFD=0 WMC=0.234
8186875,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.2766
8187132,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2128
8198711,blob,minor,WMC ATFD,,ATFD=0 WMC=0.7447
8217435,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=1 WMC=0.3404
8278616,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0
8279744,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.5385 WMC=0.2553
8285514,blob,minor,TCC ATFD,,ATFD=1 TCC=0.6884
8290693,blob,minor,WMC ATFD,,ATFD=0 WMC=0.3404
8299961,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=1 WMC=0.3404
8333510,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
8347642,blob,minor,WMC ATFD,,ATFD=0 WMC=0.3191
8387845,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1277
8395860,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.4043
8400746,blob,minor,WMC ATFD,,ATFD=0 WMC=0.6383
8427386,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
8428144,blob,minor,TCC ATFD,,ATFD=0.2 TCC=0.3333
8433766,blob,major,WMC ATFD,,ATFD=0 WMC=0.2979
8436827,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.9149
8441008,blob,major,ATFD,ATFD,ATFD=0
8442950,blob,major,ATFD,ATFD,ATFD=0
8460181,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.4894
8491397,blob,minor,WMC ATFD,,ATFD=0 WMC=0.8936
8501970,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.383
8514954,blob,minor,WMC,WMC,WMC=0.3404
8516029,blob,major,WMC ATFD,,ATFD=0 WMC=0.5957
8564291,blob,major,WMC ATFD,,ATFD=0.2 WMC=0.6383
8600681,blob,minor,WMC ATFD,,ATFD=0 WMC=0.3404
8620968,blob,minor,WMC,WMC,WMC=0.8936
8633022,blob,minor,WMC ATFD,,ATFD=0.8 WMC=0.8511
8645264,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1489
8690136,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1064
8694129,blob,minor,WMC TCC ATFD,,ATFD=0.8 TCC=0.3333 WMC=0.234
8715463,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
8736543,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3889 WMC=0.2128
8736644,blob,minor,WMC,WMC,WMC=0.1915
8749806,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0851
8768107,blob,minor,WMC TCC,,TCC=0.4053 WMC=0.9149
8804785,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.1064
8910909,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.2553
8911786,blob,minor,WMC,WMC,WMC=0.5957
8937461,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.4043
8952223,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.4118 WMC=0.2979
8970601,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.1702
8987975,blob,minor,WMC,WMC,WMC=0.766
9012542,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
9049945,blob,minor,WMC,WMC,WMC=0.8085
9071167,blob,minor,TCC,TCC,TCC=0.4118
9074421,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.3617
9095266,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=0.3333 WMC=0.3191
9104666,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=1 WMC=0.0851
9136234,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1915
9140757,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.5556 WMC=0.3404
9199423,blob,minor,TCC,TCC,TCC=0.3333
9220014,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.6383
9278685,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.4681
9298816,blob,minor,WMC ATFD,,ATFD=0.6 WMC=0.1489
9394020,blob,minor,TCC,TCC,TCC=0.4167
9402805,blob,minor,TCC,TCC,TCC=0.619
9409389,blob,minor,WMC,WMC,WMC=0.383
9483594,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
9491780,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.3333 WMC=0.1277
9535301,blob,minor,TCC,TCC,TCC=0.7857
3717906,feature envy,minor,ATFD LAA,,ATFD=0.2 LAA=0.375
3942097,feature envy,major,ATFD,ATFD,ATFD=0.4
3992626,feature envy,minor,ATFD LAA,,ATFD=0.6 LAA=0.5
4081252,feature envy,minor,ATFD LAA,,ATFD=0.2 LAA=0.3889
4092105,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
4175236,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
4308723,feature envy,minor,FDP,FDP,FDP=0.8333
4310755,feature envy,minor,ATFD,ATFD,ATFD=0.4
4352708,feature envy,minor,ATFD,ATFD,ATFD=1
4490426,feature envy,minor,ATFD LAA,,ATFD=0.2 LAA=0.3636
4532155,feature envy,minor,ATFD,ATFD,ATFD=0.6
4788662,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
4874140,feature envy,minor,ATFD,ATFD,ATFD=1
4959879,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
5243521,feature envy,major,FDP,FDP,FDP=0.7143
5338990,feature envy,minor,ATFD,ATFD,ATFD=1
5340257,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
5343588,feature envy,minor,ATFD,ATFD,ATFD=0.8
5423009,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
5469798,feature envy,minor,ATFD LAA,,ATFD=0.6 LAA=0.8333
5743113,feature envy,major,FDP,FDP,FDP=0.625
5840527,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
6186565,feature envy,minor,ATFD LAA,,ATFD=1 LAA=0.5417
6190494,feature envy,minor,ATFD LAA,,ATFD=1 LAA=0.75
6299837,feature envy,minor,ATFD,ATFD,ATFD=0.4
6318697,feature envy,minor,LAA,LAA,LAA=1
6417488,feature envy,minor,ATFD,ATFD,ATFD=0.4
6427852,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
6455346,feature envy,minor,ATFD LAA,,ATFD=0.6 LAA=0.6667
6529636,feature envy,minor,ATFD,ATFD,ATFD=0.8
6601584,feature envy,minor,ATFD LAA,,ATFD=0.4 LAA=0.6667
6633402,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
6904479,feature envy,minor,ATFD LAA,,ATFD=0.8 LAA=0.6
7092657,feature envy,minor,ATFD,ATFD,ATFD=0.6
7161584,feature envy,minor,ATFD LAA,,ATFD=1 LAA=0.8889
7201768,feature envy,minor,ATFD LAA,,ATFD=0.2 LAA=0.5
7291517,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
7588699,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
7588956,feature envy,major,ATFD LAA,,ATFD=0.8 LAA=0.4359
7730792,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
7762033,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
7916535,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
7992491,feature envy,minor,ATFD,ATFD,ATFD=1
8148121,feature envy,minor,ATFD LAA,,ATFD=0 LAA=0.3333
8300534,feature envy,minor,FDP,FDP,FDP=0.8333
8532133,feature envy,minor,ATFD LAA,,ATFD=1 LAA=0.6667
8560556,feature envy,minor,FDP,FDP,FDP=0.8333
8618517,feature envy,minor,ATFD LAA,,ATFD=0.6 LAA=0.5833
8666215,feature envy,minor,ATFD LAA,,ATFD=0.4 LAA=0.5556
8791597,feature envy,minor,FDP,FDP,FDP=0.5556
8932995,feature envy,minor,ATFD LAA,,ATFD=0.6 LAA=0.5833
9006040,feature envy,minor,FDP,FDP,FDP=0.625
9049868,feature envy,minor,ATFD LAA,,ATFD=0.2 LAA=0.5
