sample_id,repository,smell,entity_type,path,start_line,end_line,class_name,class_kind,entity_name,entity_start_line,entity_end_line,is_constructor,review_count,is_unanimous,severity_mean,severity_max,severity_min,severity_unanimous,smelly_mean,smelly_max,smelly_min,smelly_unanimous,c_AMW,c_ATFD,c_CBO,c_CLOC,c_DIT,c_LCOM,c_LCOM3,c_MAXCC,c_NOAM,c_NOC,c_NOF,c_NOM,c_NOPA,c_RFC,c_TCC,c_WMC,c_WOC,m_ATFD,m_CC,m_CINT,m_FDP,m_LAA,m_MAXNESTING,m_MLOC,m_NOAV,m_NP
6633155,git@github.com:Esri/geoportal-server-harvester.git,long method,function,geoportal-commons/geoportal-commons-dcat-client/src/main/java/com/esri/geoportal/commons/dcat/client/json/JsonAttributes.java,25,35,JsonAttributes,class,toString,25,35,0,2,1,0,0,0,0,0,0,0,0,3.0,2.0,2.0,9.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,3.0,1.0,2.0,3.0,6.0,1.0,0.0,2.0,8.0,4.0,0.0
6632851,git@github.com:Esri/geoportal-server-harvester.git,long method,function,geoportal-commons/geoportal-commons-dcat-client/src/main/java/com/esri/geoportal/commons/dcat/client/adaptors/DcatDistributionAdaptor.java,46,49,DcatDistributionAdaptor,class,getType,46,49,0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,3.0,36.0,1.0,55.0,0.0,1.0,10.0,0.0,0.0,11.0,0.0,14.0,0.0,12.0,0.09090909090909091,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
6634928,git@github.com:Esri/geoportal-server-harvester.git,blob,class,geoportal-commons/geoportal-commons-geometry/src/main/java/com/esri/geoportal/geoportal/commons/geometry/GeometryService.java,201,217,MultiPointList,class,MultiPointList,201,217,,6,0,0,1,0,,0,1,0,,1.0,0.0,3.0,10.0,1.0,0.0,-0.0,1.0,1.0,0.0,1.0,2.0,0.0,5.0,1.0,3.0,0.5,,,,,,,,,
6633402,git@github.com:Esri/maps-app-android.git,feature envy,function,maps-app/src/main/java/com/esri/android/mapsapp/MapFragment.java,735,781,MapFragment,class,getSuggestions,735,781,0,6,0,1,2,0,,1,1,0,,2.6666666666666665,13.0,80.0,801.0,1.0,362.0,0.9540909090909091,13.0,0.0,0.0,55.0,41.0,1.0,388.0,0.25757575757575757,112.0,0.9285714285714286,0.0,6.0,11.0,0.0,1.0,2.0,19.0,8.0,1.0
6635481,git@github.com:Esri/spatial-framework-for-hadoop.git,data class,class,hive/src/main/java/com/esri/hadoop/hive/ST_X.java,14,62,ST_X,class,ST_X,14,62,,2,1,0,0,0,0,0,0,0,0,5.0,2.0,7.0,22.0,3.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,10.0,1.0,5.0,1.0,,,,,,,,,
7031904,git@github.com:IBM/ibm-cos-sdk-java.git,feature envy,function,ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/AmazonS3EncryptionClient.java,291,296,AmazonS3EncryptionClient,class,AmazonS3EncryptionClient,291,296,1,2,1,0,0,0,0,0,0,0,0,1.53125,21.0,50.0,260.0,2.0,30.0,0.85,11.0,2.0,0.0,4.0,16.0,0.0,89.0,0.6818181818181818,49.0,0.8461538461538461,0.0,1.0,1.0,0.0,1.0,0.0,5.0,2.0,2.0
7030976,git@github.com:IBM/ibm-cos-sdk-java.git,feature envy,function,ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/model/HeadBucketResult.java,69,72,HeadBucketResult,class,withBucketRegion,69,72,0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,19.0,0.0,15.0,0.8333333333333334,1.0,6.0,0.0,3.0,7.0,0.0,8.0,0.14285714285714285,7.0,0.14285714285714285,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0
7032580,git@github.com:IBM/ibm-cos-sdk-java.git,feature envy,function,ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/internal/S3ErrorResponseHandler.java,207,209,S3ErrorResponseHandler,class,needsConnectionLeftOpen,207,209,0,2,1,0,0,0,0,0,0,0,0,6.5,24.0,14.0,108.0,0.0,6.0,1.0,23.0,0.0,0.0,2.0,4.0,0.0,65.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
7027539,git@github.com:IBM/ibm-cos-sdk-java.git,data class,class,ibm-cos-java-sdk-kms/src/main/java/com/ibm/cloud/objectstorage/services/kms/model/ListKeysResult.java,22,300,ListKeysResult,class,ListKeysResult,22,300,,6,0,1,2,0,,1,1,0,,2.533333333333333,1.0,12.0,87.0,1.0,91.0,0.880952380952381,13.0,5.0,0.0,3.0,15.0,0.0,40.0,0.06666666666666667,38.0,0.6666666666666666,,,,,,,,,
7043386,git@github.com:IBM/ibm-cos-sdk-java.git,blob,class,ibm-cos-java-sdk-kms/src/main/java/com/ibm/cloud/objectstorage/services/kms/model/transform/DescribeKeyRequestProtocolMarshaller.java,28,60,DescribeKeyRequestProtocolMarshaller,class,DescribeKeyRequestProtocolMarshaller,28,60,,2,1,0,0,0,0,0,0,0,0,2.0,1.0,8.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,8.0,1.0,4.0,1.0,,,,,,,,,
7043418,git@github.com:IBM/ibm-cos-sdk-java.git,long method,function,ibm-cos-java-sdk-core/src/main/java/com/ibm/cloud/objectstorage/internal/EC2CredentialsUtils.java,47,49,EC2CredentialsUtils,class,EC2CredentialsUtils,47,49,1,2,1,0,0,0,0,0,0,0,0,2.8333333333333335,4.0,10.0,54.0,0.0,4.0,0.888888888888889,7.0,0.0,0.0,3.0,4.0,0.0,33.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0
7039207,git@github.com:IBM/ibm-cos-sdk-java.git,blob,class,ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/transfer/internal/TransferProgressUpdatingListener.java,21,34,TransferProgressUpdatingListener,class,TransferProgressUpdatingListener,21,34,,2,1,0,0,0,0,0,0,0,0,1.5,1.0,3.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,1.0,,,,,,,,,
7035620,git@github.com:IBM/ibm-cos-sdk-java.git,data class,class,ibm-cos-java-sdk-core/src/main/java/com/ibm/cloud/objectstorage/transform/SimpleTypeJsonUnmarshallers.java,154,165,LongJsonUnmarshaller,class,LongJsonUnmarshaller,154,165,,2,1,0,0,0,0,0,0,0,0,1.5,0.0,2.0,7.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,3.0,0.5,,,,,,,,,
7042338,git@github.com:IBM/ibm-cos-sdk-java.git,blob,class,ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/model/transform/FilterStaxUnmarshaller.java,23,63,FilterStaxUnmarshaller,class,FilterStaxUnmarshaller,23,63,,2,1,0,0,0,0,0,0,0,0,3.6666666666666665,3.0,5.0,22.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,2.0,0.0,14.0,1.0,11.0,0.5,,,,,,,,,
7032722,git@github.com:IBM/ibm-cos-sdk-java.git,data class,class,ibm-cos-java-sdk-s3/src/main/java/com/ibm/cloud/objectstorage/services/s3/model/transform/XmlResponsesSaxParser.java,2597,2766,BucketLifecycleConfigurationHandler,class,BucketLifecycleConfigurationHandler,2597,2766,,2,1,0,0,0,0,0,0,0,0,17.0,17.0,13.0,117.0,2.0,0.0,0.6111111111111112,40.0,1.0,0.0,9.0,3.0,0.0,30.0,1.0,51.0,0.0,,,,,,,,,
7022531,git@github.com:IBM/janusgraph-utils.git,blob,class,src/main/java/com/ibm/janusgraph/utils/importer/util/Constants.java,18,38,Constants,class,Constants,18,38,,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,
7022945,git@github.com:IBM/og.git,feature envy,function,og-client/src/main/java/com/ibm/og/client/ApacheClient.java,1057,1060,Builder,class,withAuthentication,1057,1060,0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,4.0,159.0,0.0,496.0,1.0,1.0,0.0,0.0,31.0,32.0,3.0,35.0,0.0,33.0,0.9142857142857143,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0
7023392,git@github.com:IBM/og.git,feature envy,function,og-configuration/src/main/java/com/ibm/og/guice/OGModule.java,3166,3205,OGModule,class,provideRead,3166,3205,0,2,1,0,0,0,0,0,0,0,0,2.4242424242424243,162.0,107.0,2412.0,1.0,5174.0,0.928680981595092,14.0,0.0,0.0,8.0,164.0,0.0,825.0,0.43118184497494844,400.0,1.0,2.0,5.0,11.0,2.0,0.0,2.0,31.0,18.0,13.0
7023035,git@github.com:IBM/og.git,feature envy,function,og-configuration/src/main/java/com/ibm/og/cli/OperationStats.java,42,54,OperationStats,class,OperationStats,42,54,1,2,1,0,0,0,0,0,0,0,0,1.8888888888888888,11.0,6.0,71.0,0.0,11.0,0.9285714285714285,3.0,0.0,0.0,7.0,7.0,0.0,46.0,1.0,17.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,11.0,15.0,7.0
7110843,git@github.com:Microsoft/ApplicationInsights-Java.git,data class,class,core/src/main/java/com/microsoft/applicationinsights/internal/processor/PageViewTelemetryFilter.java,48,158,PageViewTelemetryFilter,class,PageViewTelemetryFilter,48,158,,2,1,0,0,0,0,0,0,0,0,5.0,5.0,8.0,73.0,0.0,0.0,0.6666666666666666,8.0,0.0,0.0,3.0,4.0,0.0,24.0,0.5,25.0,1.0,,,,,,,,,
7111061,git@github.com:Microsoft/ApplicationInsights-Java.git,long method,function,agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/sql/PreparedStatementClassDataProvider.java,288,315,PreparedStatementClassDataProvider,class,addSqlite,288,315,0,2,1,0,0,0,0,0,0,0,0,2.5454545454545454,3.0,21.0,190.0,0.0,43.0,0.9629629629629629,14.0,0.0,0.0,3.0,10.0,0.0,40.0,1.0,28.0,1.0,2.0,1.0,8.0,2.0,0.3333333333333333,0.0,20.0,8.0,0.0
7110627,git@github.com:Microsoft/ApplicationInsights-Java.git,feature envy,function,core/src/main/java/com/microsoft/applicationinsights/internal/schemav2/AvailabilityData.java,212,217,AvailabilityData,class,getMeasurements,212,217,0,2,1,0,0,0,0,0,0,0,0,1.0952380952380953,0.0,5.0,64.0,1.0,136.0,0.8947368421052632,2.0,16.0,0.0,9.0,20.0,0.0,25.0,0.058823529411764705,23.0,0.1111111111111111,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0
7137862,git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,blob,class,EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/ui/adapter/viewholder/UserHeaderViewHolder.java,149,161,UserHeaderClickListener,class,UserHeaderClickListener,149,161,,2,1,0,0,0,0,0,0,0,0,1.0,0.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,2.0,1.0,,,,,,,,,
7134617,git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,blob,class,EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/server/model/activity/ActivityFeedRequest.java,16,31,ActivityFeedRequest,class,ActivityFeedRequest,16,31,,2,1,0,0,0,0,0,0,0,0,2.0,0.0,7.0,11.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,,,,,,,,,
7135236,git@github.com:Microsoft/EmbeddedSocial-Android-SDK.git,data class,class,EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/fetcher/FriendlistFetcher.java,25,61,FriendlistFetcher,class,FriendlistFetcher,25,61,,2,1,0,0,0,0,0,0,0,0,4.0,4.0,9.0,21.0,1.0,0.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,11.0,1.0,8.0,1.0,,,,,,,,,
7119679,git@github.com:Microsoft/azure-chat-for-java.git,long method,function,azchat-web/src/main/java/com/microsoftopentechnologies/azchat/web/data/beans/BaseBean.java,105,107,BaseBean,class,setMsg,105,107,0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,3.0,22.0,0.0,20.0,0.9142857142857144,1.0,8.0,5.0,5.0,8.0,0.0,8.0,0.14285714285714285,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0
7120110,git@github.com:Microsoft/azure-chat-for-java.git,long method,function,azchat-web/src/main/java/com/microsoftopentechnologies/azchat/web/data/beans/UserMessageBean.java,91,93,UserMessageBean,class,getMediaType,91,93,0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,3.0,62.0,1.0,252.0,0.9632107023411371,1.0,24.0,0.0,13.0,24.0,0.0,24.0,0.043478260869565216,24.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
8316315,git@github.com:Microsoft/azure-devops-intellij.git,data class,class,plugin.idea/src/com/microsoft/alm/plugin/idea/git/ui/pullrequest/VcsPullRequestsController.java,17,37,VcsPullRequestsController,class,VcsPullRequestsController,17,37,,2,1,0,0,0,0,0,0,0,0,2.0,3.0,7.0,13.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,4.0,1.0,,,,,,,,,
7120318,git@github.com:Microsoft/azure-maven-plugins.git,blob,class,azure-maven-plugin-lib/src/main/java/com/microsoft/azure/maven/AbstractAzureMojo.java,45,447,AbstractAzureMojo,class,AbstractAzureMojo,45,447,,6,0,1,2,0,,1,1,0,,1.5833333333333333,3.0,22.0,197.0,1.0,618.0,0.9923809523809524,6.0,16.0,1.0,30.0,36.0,0.0,101.0,0.012307692307692308,57.0,0.4230769230769231,,,,,,,,,
7121075,git@github.com:Microsoft/azure-maven-plugins.git,long method,function,azure-functions-maven-plugin/src/main/java/com/microsoft/azure/maven/function/RunMojo.java,89,97,RunMojo,class,runFunctions,89,97,0,2,1,0,0,0,0,0,0,0,0,1.4444444444444444,2.0,6.0,56.0,4.0,34.0,0.9861111111111112,3.0,4.0,0.0,9.0,9.0,0.0,28.0,1.0,13.0,0.0,1.0,1.0,4.0,1.0,0.5,0.0,7.0,3.0,1.0
7148614,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/ApplicationSettings.java,58,61,State,class,State,58,61,,6,0,0,2,0,,0,1,0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,
7149120,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.hdinsight/src/com/microsoft/azuretools/hdinsight/Activator.java,38,96,Activator,class,Activator,38,96,,2,1,0,0,0,0,0,0,0,0,1.1666666666666667,3.0,7.0,23.0,1.0,2.0,0.625,2.0,2.0,0.0,2.0,5.0,0.0,29.0,0.3333333333333333,7.0,0.6,,,,,,,,,
7161125,git@github.com:Microsoft/azure-tools-for-java.git,data class,class,PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/helpers/InputValidator.java,30,54,InputValidator,class,InputValidator,30,54,,2,1,0,0,0,0,0,0,0,0,2.0,0.0,3.0,15.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,6.0,1.0,,,,,,,,,
7160140,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,Utils/azure-explorer-common/src/com/microsoft/tooling/msservices/serviceexplorer/NodeAction.java,31,97,NodeAction,class,NodeAction,31,97,,2,1,0,0,0,0,0,0,0,0,1.3,1.0,5.0,37.0,0.0,24.0,0.875,3.0,6.0,4.0,5.0,9.0,0.0,17.0,0.16666666666666666,13.0,0.3333333333333333,,,,,,,,,
7156185,git@github.com:Microsoft/azure-tools-for-java.git,feature envy,function,Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/azure/datalake/analytics/accounts/models/AddStorageAccountParameters.java,97,104,AddStorageAccountParameters,class,withSuffix,97,104,0,2,1,0,0,0,0,0,0,0,0,2.0,2.0,1.0,25.0,0.0,0.0,-0.0,2.0,0.0,0.0,1.0,4.0,0.0,8.0,1.0,8.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0
7157571,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/helpers/storage/BlobExplorerFileEditorProvider.java,41,101,BlobExplorerFileEditorProvider,class,BlobExplorerFileEditorProvider,41,101,,2,1,0,0,0,0,0,0,0,0,1.4285714285714286,6.0,15.0,40.0,0.0,19.0,0.8333333333333334,3.0,0.0,0.0,1.0,7.0,1.0,21.0,0.047619047619047616,10.0,0.875,,,,,,,,,
7144792,git@github.com:Microsoft/azure-tools-for-java.git,long method,function,Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/common/HttpResponse.java,34,40,HttpResponse,class,HttpResponse,34,40,1,2,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,19.0,0.0,6.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,8.0,4.0
7148928,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.container/src/main/java/com/microsoft/azuretools/container/ui/DockerRunDialog.java,73,399,DockerRunDialog,class,DockerRunDialog,73,399,,6,0,1,2,0,,1,1,0,,3.2,32.0,32.0,211.0,2.0,65.0,0.9515669515669516,20.0,2.0,0.0,27.0,14.0,0.0,156.0,1.0,48.0,0.0,,,,,,,,,
7160761,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,Utils/azuretools-core/src/com/microsoft/azuretools/authmanage/srvpri/step/Status.java,28,59,Status,class,Status,28,59,,6,0,1,2,0,,1,1,0,,1.0,0.0,1.0,20.0,0.0,0.0,0.6666666666666666,1.0,3.0,0.0,3.0,4.0,0.0,6.0,0.5,5.0,0.25,,,,,,,,,
7147207,git@github.com:Microsoft/azure-tools-for-java.git,data class,class,Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/yarn/rm/Capability.java,26,56,Capability,class,Capability,26,56,,8,0,1,3,0,,1,1,0,,1.0,0.0,1.0,16.0,0.0,9.0,0.8,1.0,6.0,0.0,3.0,6.0,0.0,6.0,0.2,6.0,0.0,,,,,,,,,
7148054,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/spark/task/ShuffleWriteMetrics.java,24,60,ShuffleWriteMetrics,class,ShuffleWriteMetrics,24,60,,8,0,1,3,0,,1,1,0,,1.0,0.0,0.0,16.0,0.0,9.0,0.8,1.0,6.0,0.0,3.0,6.0,0.0,6.0,0.2,6.0,0.0,,,,,,,,,
7152802,git@github.com:Microsoft/azure-tools-for-java.git,blob,class,Utils/AzureAuthenticationFilter/src/main/java/com/microsoft/azure/oidc/token/impl/SimpeTokenParser.java,63,197,SimpeTokenParser,class,SimpeTokenParser,63,197,,2,1,0,0,0,0,0,0,0,0,1.9333333333333333,0.0,27.0,83.0,0.0,97.0,0.9785714285714285,3.0,11.0,0.0,10.0,15.0,0.0,55.0,1.0,29.0,0.5,,,,,,,,,
7140272,git@github.com:Microsoft/java-debug.git,blob,class,com.microsoft.java.debug.plugin/src/main/java/com/microsoft/java/debug/plugin/internal/LaunchCommandHandler.java,22,38,LaunchCommandHandler,class,LaunchCommandHandler,22,38,,2,1,0,0,0,0,0,0,0,0,4.0,6.0,2.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,4.0,1.0,,,,,,,,,
7139571,git@github.com:Microsoft/java-debug.git,blob,class,com.microsoft.java.debug.plugin/src/main/java/com/microsoft/java/debug/plugin/internal/ResolveClasspathsHandler.java,42,257,ResolveClasspathsHandler,class,ResolveClasspathsHandler,42,257,,2,1,0,0,0,0,0,0,0,0,4.285714285714286,5.0,17.0,113.0,0.0,19.0,0.8333333333333334,8.0,0.0,0.0,1.0,7.0,0.0,69.0,1.0,30.0,1.0,,,,,,,,,
7141052,git@github.com:Microsoft/java-debug.git,long method,function,com.microsoft.java.debug.plugin/src/main/java/com/microsoft/java/debug/plugin/internal/JdtSourceLookUpProvider.java,246,262,JdtSourceLookUpProvider,class,resolveClassFile,246,262,0,2,1,0,0,0,0,0,0,0,0,4.2727272727272725,3.0,23.0,138.0,0.0,47.0,0.9400000000000001,14.0,0.0,0.0,5.0,11.0,0.0,83.0,0.2,47.0,1.0,0.0,7.0,7.0,0.0,1.0,2.0,12.0,7.0,1.0
7143647,git@github.com:Microsoft/malmo.git,blob,class,Minecraft/src/main/java/com/microsoft/Malmo/MissionHandlers/VideoProducerImplementation.java,44,193,VideoProducerImplementation,class,VideoProducerImplementation,44,193,,6,0,0,1,0,,0,1,0,,2.6666666666666665,1.0,8.0,82.0,1.0,0.0,0.5833333333333334,12.0,1.0,0.0,3.0,9.0,0.0,47.0,0.6071428571428571,24.0,0.875,,,,,,,,,
